film,category,movies.popularity,movies.vote_count,movies.vote_average,year
The Jazz Singer,WRITING,7.6,143,6.3,1927
Our Dancing Daughters,CINEMATOGRAPHY,1.43,12,6.7,1928
It Happened One Night,WRITING,10.43,914,7.9,1934
Mr. Deeds Goes to Town,WRITING,9.39,247,7.5,1936
Morocco,CINEMATOGRAPHY,6.73,94,6.6,1930
Theodora Goes Wild,FILM EDITING,1.98,25,6.5,1936
The Great Ziegfeld,FILM EDITING,5.7,82,6.2,1936
The Champ,DIRECTING,3.01,34,7,1931
Stage Door,WRITING,5.36,67,7,1937
The Awful Truth,FILM EDITING,6.63,206,7.3,1937
Four Daughters,DIRECTING,2.59,15,6.6,1938
Stagecoach,CINEMATOGRAPHY,11.31,835,7.7,1939
Ninotchka,WRITING,8.26,276,7.6,1939
Love Affair,WRITING,5.34,64,7.3,1939
Rebecca,FILM EDITING,12.09,1301,7.9,1940
The Grapes of Wrath,WRITING,8.93,722,7.8,1940
The Great Dictator,WRITING,15.78,2616,8.4,1940
The Philadelphia Story,WRITING,7.64,663,7.7,1940
Cleopatra,FILM EDITING,4.3,50,6.1,1934
The Devil and Miss Jones,WRITING,3.28,34,7.8,1941
Meet John Doe,WRITING,5.85,171,7.4,1941
How Green Was My Valley,FILM EDITING,7.25,282,7.2,1941
Woman of the Year,WRITING,9.14,102,6.9,1942
Mutiny on the Bounty,WRITING,8.04,233,7.4,1935
Mrs. Miniver,FILM EDITING,8.05,181,7.1,1942
Watch on the Rhine,WRITING,3.47,26,6.8,1943
Shadow of a Doubt,WRITING,9.34,738,7.6,1943
Double Indemnity,WRITING,19.39,1357,8.2,1944
Meet Me in St. Louis,WRITING,8.46,263,7.1,1944
Laura,WRITING,10.12,587,7.7,1944
Cover Girl,CINEMATOGRAPHY,5.28,61,6.4,1944
Since You Went Away,FILM EDITING,2.3,35,6.4,1944
Lifeboat,WRITING,7.04,322,7.4,1944
The Uninvited,CINEMATOGRAPHY,5.34,159,7,1944
Mildred Pierce,WRITING,6.92,286,7.7,1945
Spellbound,CINEMATOGRAPHY,7.34,659,7.5,1945
San Francisco,DIRECTING,4.36,45,7,1936
It's a Wonderful Life,FILM EDITING,33.52,3321,8.3,1946
Fury,WRITING,6.11,148,7.5,1936
The Stranger,WRITING,6.95,442,7.3,1946
Black Narcissus,CINEMATOGRAPHY,7.02,341,7.7,1947
The Ghost and Mrs. Muir,CINEMATOGRAPHY,7.79,220,7.7,1947
Body and Soul,WRITING,5.53,75,6.8,1947
My Man Godfrey,WRITING,6.27,247,7.6,1936
Miracle on 34th Street,WRITING,9.11,528,7.4,1947
The Red Shoes,WRITING,9.81,449,8.1,1948
The Snake Pit,WRITING,4.41,72,7.3,1948
I Remember Mama,CINEMATOGRAPHY,2.82,41,7,1948
Joan of Arc,COSTUME DESIGN,4.58,48,6.4,1948
The Barkleys of Broadway,CINEMATOGRAPHY,3.75,35,7.1,1949
Little Women,CINEMATOGRAPHY,8.24,184,7.5,1949
A Letter to Three Wives,WRITING,5.77,111,7.3,1949
The Heiress,COSTUME DESIGN,10.15,176,7.7,1949
Lost Horizon,FILM EDITING,6.01,148,7.1,1937
The Life of Emile Zola,WRITING,6.49,82,6.6,1937
Born Yesterday,COSTUME DESIGN,6.31,118,7.2,1950
No Way Out,WRITING,4.63,65,6.9,1950
Caged,WRITING,3.88,40,7.1,1950
A Streetcar Named Desire,COSTUME DESIGN,10.97,1055,7.7,1951
Show Boat,CINEMATOGRAPHY,4,56,6.2,1951
Quo Vadis,CINEMATOGRAPHY,19.29,300,7.1,1951
Roman Holiday,BEST PICTURE,13.58,1571,7.9,1953
The Cruel Sea,WRITING,4.04,47,7,1953
The Adventures of Robin Hood,FILM EDITING,11.05,543,7.5,1938
From Here to Eternity,BEST PICTURE,8.08,480,7.3,1953
How to Marry a Millionaire,COSTUME DESIGN,10.73,400,6.9,1953
Angels with Dirty Faces,WRITING,7.8,227,7.7,1938
Seven Brides for Seven Brothers,FILM EDITING,9.36,436,7.3,1954
Rear Window,WRITING,15.29,5157,8.4,1954
Sabrina,WRITING,19.55,988,7.6,1954
Three Coins in the Fountain,CINEMATOGRAPHY,4.94,34,6,1954
To Catch a Thief,COSTUME DESIGN,10.05,1162,7.4,1955
Guys and Dolls,COSTUME DESIGN,7.43,173,6.7,1955
Marty,BEST PICTURE,6.78,268,7.5,1955
Jezebel,CINEMATOGRAPHY,6.36,133,7.2,1938
Oklahoma!,FILM EDITING,10.66,119,6.7,1955
Summertime,DIRECTING,6.05,94,6.9,1955
The Bad Seed,CINEMATOGRAPHY,6.14,185,7.1,1956
War and Peace,DIRECTING,8.78,180,6.6,1956
Of Mice and Men,CINEMATOGRAPHY,3.84,54,7.3,1939
Wuthering Heights,CINEMATOGRAPHY,8.4,194,7.3,1939
High Society,WRITING,6.03,167,7,1956
"Goodbye, Mr. Chips",WRITING,7.2,83,7.5,1939
Funny Face,WRITING,8.99,546,7,1957
Juarez,CINEMATOGRAPHY,3.77,17,6.5,1939
Auntie Mame,FILM EDITING,6.04,77,7.1,1958
Separate Tables,BEST PICTURE,6.58,80,6.8,1958
Mr. Smith Goes to Washington,WRITING,12.42,791,7.9,1939
South Pacific,CINEMATOGRAPHY,6.9,81,6.4,1958
The Inn of the Sixth Happiness,DIRECTING,4.66,57,6.8,1958
Cat on a Hot Tin Roof,WRITING,7.89,584,7.7,1958
Young Mr. Lincoln,WRITING,5.75,115,7.4,1939
I Want to Live!,FILM EDITING,5.07,72,7.1,1958
Ben-Hur,BEST PICTURE,38.36,2095,7.8,1959
The Nun's Story,BEST PICTURE,9.24,121,7.1,1959
The Private Lives of Elizabeth and Essex,CINEMATOGRAPHY,21.36,64,6.3,1939
Some Like It Hot,WRITING,20.28,2727,8.1,1959
Foreign Correspondent,WRITING,6.55,268,7,1940
Pillow Talk,WRITING,7.52,197,7.2,1959
Inherit the Wind,FILM EDITING,7,304,7.8,1960
The Apartment,FILM EDITING,11.38,1710,8.2,1960
Psycho,CINEMATOGRAPHY,33.5,8193,8.4,1960
Exodus,CINEMATOGRAPHY,7.6,135,6.7,1960
Comrade X,WRITING,1.74,14,5.9,1940
The Virgin Spring,COSTUME DESIGN,7.1,448,7.8,1960
The Children's Hour,COSTUME DESIGN,8.23,257,7.8,1961
The Letter,FILM EDITING,4.77,154,7.4,1940
"One, Two, Three",CINEMATOGRAPHY,8.57,276,7.6,1961
West Side Story,WRITING,8.99,1483,7.3,1961
"All This, and Heaven Too",CINEMATOGRAPHY,3.11,37,7.5,1940
Splendor in the Grass,WRITING,6.4,199,7.6,1961
Boom Town,CINEMATOGRAPHY,4.75,37,7,1940
The Parent Trap,FILM EDITING,12.76,277,7.1,1961
What Ever Happened to Baby Jane?,COSTUME DESIGN,7.76,790,8,1962
Lolita,WRITING,24.98,1594,7.4,1962
To Kill a Mockingbird,WRITING,10.17,2068,8,1962
Gypsy,CINEMATOGRAPHY,4.76,47,6.6,1962
The Miracle Worker,WRITING,6.56,221,7.9,1962
Hatari!,CINEMATOGRAPHY,7.21,173,6.6,1962
Citizen Kane,WRITING,13.32,4412,8,1941
Tom Jones,WRITING,9.4,144,6,1963
The Lady Eve,WRITING,5.75,241,7.3,1941
"It's a Mad, Mad, Mad, Mad World",CINEMATOGRAPHY,13.49,419,7,1963
The Little Foxes,FILM EDITING,6.91,128,7.6,1941
Mary Poppins,WRITING,37.26,3966,7.6,1964
My Fair Lady,DIRECTING,12.84,1012,7.6,1964
The Maltese Falcon,WRITING,11.98,1261,7.8,1941
The Unsinkable Molly Brown,COSTUME DESIGN,4.49,36,5.6,1964
The Sound of Music,COSTUME DESIGN,18.32,2621,7.7,1965
Inside Daisy Clover,COSTUME DESIGN,3.46,38,5.8,1965
Darling,WRITING,6.93,92,6.9,1965
A Patch of Blue,CINEMATOGRAPHY,6.25,68,7.8,1965
Georgy Girl,CINEMATOGRAPHY,4.58,34,6.6,1966
Bonnie and Clyde,COSTUME DESIGN,12.75,1235,7.5,1967
Thoroughly Modern Millie,COSTUME DESIGN,7.37,65,7.1,1967
Two for the Road,WRITING,6.64,176,7,1967
Guess Who's Coming to Dinner,WRITING,8.79,627,7.6,1967
Rosemary's Baby,WRITING,19.05,3094,7.8,1968
Romeo and Juliet,BEST PICTURE,12.7,516,7.4,1968
Star!,CINEMATOGRAPHY,2.07,26,6.3,1968
The Lion in Winter,COSTUME DESIGN,9.69,242,7.4,1968
Funny Girl,BEST PICTURE,5.94,309,7.3,1968
The Magnificent Ambersons,CINEMATOGRAPHY,7.23,306,7.3,1942
"Hello, Dolly!",BEST PICTURE,7.55,250,7,1969
Five Easy Pieces,WRITING,7.68,380,7.2,1970
Airport,FILM EDITING,9.24,278,6.4,1970
Darling Lili,COSTUME DESIGN,3.64,24,5.5,1970
Bedknobs and Broomsticks,COSTUME DESIGN,9.86,771,7,1971
"Mary, Queen of Scots",COSTUME DESIGN,3.64,40,6.8,1971
The More the Merrier,WRITING,6.76,58,6.8,1943
Klute,WRITING,7.71,293,6.8,1971
Nicholas and Alexandra,COSTUME DESIGN,4.34,47,7,1971
The Andromeda Strain,FILM EDITING,11.31,508,7,1971
Travels with My Aunt,CINEMATOGRAPHY,3.55,22,5.9,1972
Butterflies Are Free,CINEMATOGRAPHY,5.8,58,7,1972
Cabaret,DIRECTING,7.05,686,7.5,1972
The Discreet Charm of the Bourgeoisie,WRITING,10.14,580,7.6,1972
Lady Sings the Blues,WRITING,4.57,44,7.1,1972
The Exorcist,BEST PICTURE,110.15,6315,7.7,1973
Paper Moon,WRITING,7.26,507,7.9,1973
Alice Doesn't Live Here Anymore,WRITING,7.54,334,7,1974
Jaws,FILM EDITING,43.3,8367,7.6,1975
Hail the Conquering Hero,WRITING,5.08,49,7.1,1944
Dog Day Afternoon,WRITING,14.04,2293,7.8,1975
Nashville,DIRECTING,6.27,279,7.4,1975
Network,WRITING,9.33,1291,7.9,1976
The Turning Point,WRITING,4.48,39,6.3,1977
Julia,WRITING,7.05,100,6.6,1977
Annie Hall,WRITING,10.49,3204,7.8,1977
The Goodbye Girl,WRITING,7.43,124,7,1977
A Little Night Music,COSTUME DESIGN,1.59,11,6.9,1977
Autumn Sonata,WRITING,7.58,401,8,1978
Interiors,WRITING,7.06,263,6.8,1978
Death on the Nile,COSTUME DESIGN,19.94,548,7.1,1978
The Wiz,CINEMATOGRAPHY,8.43,183,6.1,1978
The China Syndrome,WRITING,9.35,337,7.2,1979
The Lost Weekend,WRITING,9.7,428,7.7,1945
Norma Rae,BEST PICTURE,6.85,115,7.2,1979
Private Benjamin,WRITING,6.3,297,6,1980
Coal Miner's Daughter,FILM EDITING,7.75,186,7.3,1980
Reds,BEST PICTURE,8.7,240,7,1981
The Jolson Story,FILM EDITING,1.89,14,6.7,1946
Absence of Malice,WRITING,8.7,144,6.7,1981
The Best Years of Our Lives,WRITING,9.4,465,7.8,1946
Sophie's Choice,WRITING,9.32,689,7.4,1982
Notorious,WRITING,9.55,1201,7.8,1946
An Officer and a Gentleman,WRITING,14.1,862,7,1982
Missing,BEST PICTURE,7,276,7.3,1982
Victor/Victoria,WRITING,7.74,323,7.2,1982
Silkwood,WRITING,8.05,247,7,1983
Educating Rita,WRITING,6.37,132,6.9,1983
Gentleman's Agreement,WRITING,6.32,176,7.1,1947
Flashdance,CINEMATOGRAPHY,11.61,1154,6.5,1983
Crossfire,WRITING,6.01,86,6.5,1947
The Bostonians,COSTUME DESIGN,1.48,24,4.8,1984
Amadeus,FILM EDITING,18.01,3363,8,1984
Odd Man Out,FILM EDITING,7.21,136,7.4,1947
A Passage to India,COSTUME DESIGN,7.85,211,6.9,1984
Romancing the Stone,FILM EDITING,15.5,1431,6.7,1984
Brazil,WRITING,17.78,2662,7.7,1985
The Color Purple,CINEMATOGRAPHY,13.98,1331,7.8,1985
The Trip to Bountiful,WRITING,2.58,37,7.4,1985
A Chorus Line,FILM EDITING,7.34,134,6.3,1985
The Official Story,WRITING,6.38,138,7.5,1985
The Purple Rose of Cairo,WRITING,7.2,786,7.4,1985
Hamlet,COSTUME DESIGN,6.8,186,7.5,1948
Witness,DIRECTING,11.68,1249,7.1,1985
Out of Africa,DIRECTING,10.06,1098,7.2,1985
Hannah and Her Sisters,DIRECTING,7.96,779,7.6,1986
Peggy Sue Got Married,CINEMATOGRAPHY,8.59,409,6.1,1986
Star Trek IV: The Voyage Home,CINEMATOGRAPHY,12.4,1127,7.2,1986
Children of a Lesser God,BEST PICTURE,5.63,231,7,1986
All the King's Men,WRITING,6.83,162,6.9,1949
Moonstruck,DIRECTING,12.03,680,6.9,1987
The Last Emperor,DIRECTING,11.97,1266,7.6,1987
Fatal Attraction,FILM EDITING,17.83,1090,6.8,1987
Broadcast News,FILM EDITING,8.98,308,6.8,1987
Hope and Glory,DIRECTING,7.06,139,6.8,1987
Die Hard,FILM EDITING,33.92,9132,7.7,1988
Working Girl,BEST PICTURE,8.92,724,6.6,1988
Dangerous Liaisons,WRITING,9.27,890,7.3,1988
A Fish Called Wanda,WRITING,13.15,1682,7.2,1988
The Asphalt Jungle,WRITING,8.3,350,7.5,1950
Gorillas in the Mist,FILM EDITING,8.27,458,7,1988
The Abyss,CINEMATOGRAPHY,17.68,2233,7.3,1989
Henry V,COSTUME DESIGN,7.78,283,7.3,1989
Crimes and Misdemeanors,WRITING,7.68,691,7.5,1989
Born on the Fourth of July,BEST PICTURE,10.78,1329,7,1989
Driving Miss Daisy,BEST PICTURE,10.35,1229,7.3,1989
Ghost,WRITING,34.21,4586,7.2,1990
An American in Paris,COSTUME DESIGN,8.58,437,7.1,1951
Alice,WRITING,5.64,226,6.4,1990
Metropolitan,WRITING,6.43,113,6.9,1990
The Silence of the Lambs,FILM EDITING,11.28,13315,8.3,1991
Strangers on a Train,CINEMATOGRAPHY,11.19,1239,7.7,1951
Fried Green Tomatoes,WRITING,14.88,1055,7.7,1991
Terminator 2: Judgment Day,FILM EDITING,65.49,10396,8.1,1991
The Fisher King,WRITING,9.18,1047,7.3,1991
The Addams Family,COSTUME DESIGN,31.1,3604,7,1991
JFK,FILM EDITING,16.16,1613,7.7,1991
Toys,COSTUME DESIGN,7.85,434,5.2,1992
Enchanted April,WRITING,4.51,51,6.7,1992
Passion Fish,WRITING,2.67,30,6.9,1992
Howards End,BEST PICTURE,8.57,385,7,1992
The Greatest Show on Earth,COSTUME DESIGN,7.9,175,6.4,1952
The Player,WRITING,8.59,581,7.2,1992
Malcolm X,COSTUME DESIGN,13.2,1276,7.5,1992
Husbands and Wives,WRITING,7.38,324,7.1,1992
Bram Stoker's Dracula,COSTUME DESIGN,37.7,4020,7.4,1992
The Bad and the Beautiful,WRITING,6.28,177,7.4,1952
High Noon,WRITING,8.63,1097,7.7,1952
The Quiet Man,WRITING,7.59,376,7.3,1952
Unforgiven,FILM EDITING,23.8,3411,7.9,1992
Dave,WRITING,11.45,585,6.6,1993
Schindler's List,FILM EDITING,35.73,12815,8.6,1993
The Piano,CINEMATOGRAPHY,12.41,1133,7.4,1993
The Age of Innocence,WRITING,9.42,826,7,1993
The Snows of Kilimanjaro,CINEMATOGRAPHY,5.32,64,5.9,1952
Short Cuts,DIRECTING,7.38,432,7.2,1993
Julius Caesar,BEST PICTURE,8.5,150,7.1,1953
Speed,FILM EDITING,34.04,4915,7.1,1994
Shane,BEST PICTURE,10.66,453,7.5,1953
Heavenly Creatures,WRITING,7.3,707,7,1994
The War of the Worlds,FILM EDITING,10.55,467,6.8,1953
"The Adventures of Priscilla, Queen of the Desert",COSTUME DESIGN,8.13,590,7.3,1994
The Band Wagon,WRITING,6.45,158,7.1,1953
Legends of the Fall,CINEMATOGRAPHY,18.92,2028,7.4,1994
Four Weddings and a Funeral,WRITING,15.18,2131,6.8,1994
A Little Princess,CINEMATOGRAPHY,17.52,794,7.6,1995
Apollo 13,FILM EDITING,15.3,4500,7.4,1995
The Caine Mutiny,BEST PICTURE,7.62,241,7.2,1954
The Glenn Miller Story,WRITING,6.72,109,6.9,1954
Babe,WRITING,24.53,2403,6.2,1995
Dead Man Walking,DIRECTING,8.24,1070,7.4,1995
A Star Is Born,COSTUME DESIGN,9.24,226,7.2,1954
Secrets & Lies,DIRECTING,8.21,457,7.6,1996
Fly Away Home,CINEMATOGRAPHY,10.26,368,6.8,1996
Executive Suite,COSTUME DESIGN,3.86,36,7.2,1954
Emma,COSTUME DESIGN,9.53,492,6.7,1996
The English Patient,BEST PICTURE,13.43,1684,7.2,1996
Evita,FILM EDITING,7.27,377,6.2,1996
The Crucible,WRITING,8.5,412,6.6,1996
As Good as It Gets,BEST PICTURE,17.87,3022,7.4,1997
Boogie Nights,WRITING,13.57,2497,7.6,1997
The Ten Commandments,COSTUME DESIGN,50.24,1133,7.7,1956
The King and I,DIRECTING,8.56,292,7.2,1956
Pleasantville,COSTUME DESIGN,8.38,1375,7.3,1998
Shakespeare in Love,BEST PICTURE,11.28,2585,6.9,1998
Elizabeth,BEST PICTURE,10.47,1132,7.2,1998
Primary Colors,WRITING,9.06,240,6.3,1998
Beloved,COSTUME DESIGN,7.14,80,5.6,1998
Witness for the Prosecution,BEST PICTURE,12.22,988,8.2,1957
Sayonara,BEST PICTURE,6.5,96,6.8,1957
The Bridge on the River Kwai,BEST PICTURE,12.89,1578,7.8,1957
The Matrix,FILM EDITING,64.02,21623,8.2,1999
The Sixth Sense,BEST PICTURE,34.14,9570,7.9,1999
Election,WRITING,8.9,789,6.8,1999
Being John Malkovich,WRITING,12.37,3479,7.4,1999
Anna and the King,COSTUME DESIGN,10.38,632,6.7,1999
Magnolia,WRITING,16.74,2785,7.7,1999
Titus,COSTUME DESIGN,5.88,215,6.5,1999
The Cider House Rules,WRITING,9.15,906,7,1999
An Affair to Remember,CINEMATOGRAPHY,7.34,353,7.4,1957
The Talented Mr. Ripley,WRITING,13.04,2817,7.2,1999
Topsy-Turvy,WRITING,6.89,114,6.7,1999
Gigi,BEST PICTURE,7.37,243,6.3,1958
Teacher's Pet,WRITING,4.59,67,6.8,1958
Erin Brockovich,BEST PICTURE,13.84,2499,7.4,2000
Chocolat,BEST PICTURE,14.82,2796,7,2000
"Crouching Tiger, Hidden Dragon",WRITING,14.98,2559,7.4,2000
Almost Famous,WRITING,16.45,2162,7.5,2000
The Patriot,CINEMATOGRAPHY,29.88,3141,7.1,2000
Billy Elliot,WRITING,15.91,3219,7.6,2000
Anatomy of a Murder,BEST PICTURE,8.94,718,7.9,1959
North by Northwest,FILM EDITING,14.62,3241,8,1959
102 Dalmatians,COSTUME DESIGN,11.68,1126,5.5,2000
Traffic,BEST PICTURE,16.65,1687,7.1,2000
Mulholland Drive,DIRECTING,17.61,4900,7.8,2001
Amélie,CINEMATOGRAPHY,20.13,9733,7.9,2001
Gosford Park,BEST PICTURE,10.46,855,6.9,2001
Spartacus,FILM EDITING,24.42,1669,7.5,1960
Never on Sunday,WRITING,3.58,52,6.9,1960
In the Bedroom,WRITING,12.77,244,6.8,2001
My Big Fat Greek Wedding,WRITING,9.62,1763,6.5,2002
The Guns of Navarone,WRITING,16.38,582,7.3,1961
Breakfast at Tiffany's,WRITING,14.59,3521,7.7,1961
Far from Heaven,WRITING,6.86,448,7,2002
Yojimbo,COSTUME DESIGN,11.83,1049,8.2,1961
Talk to Her,WRITING,9.07,997,7.6,2002
That Touch of Mink,WRITING,8.6,117,6.6,1962
Lost in Translation,BEST PICTURE,13.03,5991,7.4,2003
Cold Mountain,FILM EDITING,14.28,1435,6.9,2003
The Barbarian Invasions,WRITING,6.76,292,7.1,2003
Girl with a Pearl Earring,CINEMATOGRAPHY,12.8,1147,6.6,2003
The Manchurian Candidate,FILM EDITING,12.44,514,7.6,1962
Mystic River,BEST PICTURE,21.33,5266,7.7,2003
The Incredibles,WRITING,106.37,15221,7.7,2004
Million Dollar Baby,BEST PICTURE,23.04,7979,8,2004
A Very Long Engagement,CINEMATOGRAPHY,7.63,956,7.3,2004
A Hard Day's Night,WRITING,8.86,511,7.4,1964
Finding Neverland,BEST PICTURE,15.01,3120,7.3,2004
Lemony Snicket's A Series of Unfortunate Events,COSTUME DESIGN,19.57,4342,6.8,2004
Sideways,BEST PICTURE,9.08,1283,7.1,2004
Vera Drake,WRITING,8.14,271,7.3,2004
Ray,COSTUME DESIGN,23.22,1528,7.4,2004
The Americanization of Emily,CINEMATOGRAPHY,3.4,53,6.7,1964
The Passion of the Christ,CINEMATOGRAPHY,89.01,3465,7.4,2004
Doctor Zhivago,COSTUME DESIGN,18.59,872,7.6,1965
The New World,CINEMATOGRAPHY,10.85,925,6.5,2005
The Constant Gardener,WRITING,11.88,1145,7,2005
Charlie and the Chocolate Factory,COSTUME DESIGN,231.59,12608,7,2005
Memoirs of a Geisha,COSTUME DESIGN,56.21,2406,7.7,2005
