film,category,movies.popularity,movies.vote_count,movies.vote_average,year
Who's Afraid of Virginia Woolf?,COSTUME DESIGN,9.04,613,7.8,1966
Capote,BEST PICTURE,11.48,1140,7,2005
A Man for All Seasons,COSTUME DESIGN,8.56,317,7.4,1966
Match Point,WRITING,15.21,3415,7.3,2005
The Fortune Cookie,WRITING,7.17,239,7.3,1966
Pride & Prejudice,COSTUME DESIGN,45.9,6519,8.1,2005
The Sand Pebbles,CINEMATOGRAPHY,9.26,181,7.2,1966
A History of Violence,WRITING,11.54,2534,7.2,2005
Alfie,WRITING,7.23,153,6.5,1966
Pan's Labyrinth,WRITING,43.94,8958,7.7,2006
Little Children,WRITING,16.65,741,7.1,2006
Little Miss Sunshine,WRITING,15.25,5722,7.7,2006
In the Heat of the Night,DIRECTING,8.71,749,7.7,1967
The Queen,WRITING,11.92,1001,7,2006
The Graduate,DIRECTING,14.47,2627,7.7,1967
Notes on a Scandal,WRITING,10.25,681,7.1,2006
Oliver!,COSTUME DESIGN,10.94,309,7,1968
Planet of the Apes,COSTUME DESIGN,31.81,2667,7.6,1968
Dreamgirls,COSTUME DESIGN,12.74,822,6.8,2006
Babel,WRITING,16.56,3051,7.2,2006
Bullitt,FILM EDITING,8.98,822,7.2,1968
Z,BEST PICTURE,11.3,309,7.9,1969
Midnight Cowboy,BEST PICTURE,10.04,1004,7.5,1969
Butch Cassidy and the Sundance Kid,BEST PICTURE,12.17,1708,7.6,1969
Juno,BEST PICTURE,20.83,6130,7,2007
"They Shoot Horses, Don't They?",DIRECTING,7.85,223,7.8,1969
Alice's Restaurant,DIRECTING,4.43,50,6.2,1969
The Savages,WRITING,6.31,295,6.8,2007
No Country for Old Men,FILM EDITING,25.94,9719,7.9,2007
Easy Rider,WRITING,11.34,1569,7.1,1969
Atonement,BEST PICTURE,21.51,3372,7.7,2007
Love Story,DIRECTING,9.09,534,6.8,1970
Patton,DIRECTING,9.46,824,7.5,1970
Tora! Tora! Tora!,CINEMATOGRAPHY,12.1,394,7.1,1970
Lars and the Real Girl,WRITING,10.1,1395,7.2,2007
La Vie en Rose,COSTUME DESIGN,12.95,1322,7.5,2007
Elizabeth: The Golden Age,COSTUME DESIGN,11.96,1025,6.7,2007
Across the Universe,COSTUME DESIGN,10.86,1129,7.2,2007
A Clockwork Orange,DIRECTING,36.41,10702,8.2,1971
The French Connection,CINEMATOGRAPHY,9.39,1367,7.5,1971
The Last Picture Show,CINEMATOGRAPHY,8.27,475,7.7,1971
The Dark Knight,FILM EDITING,88.38,27648,8.5,2008
The Godfather,WRITING,68.09,16047,8.7,1972
The Curious Case of Benjamin Button,BEST PICTURE,39.14,10746,7.6,2008
The Poseidon Adventure,CINEMATOGRAPHY,12.15,646,7.2,1972
1776,CINEMATOGRAPHY,9.28,54,7,1972
Happy-Go-Lucky,WRITING,7.61,336,6.6,2008
Deliverance,DIRECTING,9.94,1200,7.3,1972
The Sting,BEST PICTURE,11.63,1989,8,1973
American Graffiti,BEST PICTURE,8.57,1091,7.1,1973
A Touch of Class,BEST PICTURE,2.33,36,6.4,1973
The Duchess,COSTUME DESIGN,13.97,1431,7,2008
Serpico,WRITING,8.62,1482,7.6,1973
In the Loop,WRITING,8.81,498,7.1,2009
The Conversation,BEST PICTURE,9.62,1262,7.6,1974
Inglourious Basterds,WRITING,89.72,18740,8.2,2009
Avatar,FILM EDITING,523.1,25500,7.5,2009
Blazing Saddles,FILM EDITING,11.01,1440,7.3,1974
Chinatown,FILM EDITING,16.63,2962,7.9,1974
The Towering Inferno,FILM EDITING,9.54,686,7,1974
An Education,WRITING,9.55,1087,6.9,2009
Bright Star,COSTUME DESIGN,9.1,362,6.6,2009
Young Frankenstein,WRITING,14.4,2566,7.9,1974
The Young Victoria,COSTUME DESIGN,10.96,872,7.2,2009
Barry Lyndon,WRITING,12.18,2209,8,1975
All the President's Men,WRITING,15.75,1400,7.7,1976
Rocky,WRITING,51.6,6130,7.8,1976
Taxi Driver,BEST PICTURE,40.49,9405,8.2,1976
Two-Minute Warning,FILM EDITING,4.89,59,6.2,1976
Alice in Wonderland,COSTUME DESIGN,140.22,12187,6.6,2010
Winter's Bone,BEST PICTURE,9.48,1415,6.8,2010
Toy Story 3,WRITING,125.48,12523,7.8,2010
I Am Love,COSTUME DESIGN,6.53,272,6.9,2010
Logan's Run,CINEMATOGRAPHY,13.22,697,6.6,1976
The Kids Are All Right,WRITING,8.58,1222,6.6,2010
Inception,CINEMATOGRAPHY,127.44,31645,8.4,2010
Star Wars,WRITING,130.64,17299,8.2,1977
The Tempest,COSTUME DESIGN,1.87,7,6.7,2010
Black Swan,CINEMATOGRAPHY,29.71,12286,7.6,2010
127 Hours,WRITING,22.51,6394,7.1,2010
Another Year,WRITING,7.56,290,7,2010
True Grit,CINEMATOGRAPHY,19.98,4419,7.3,2010
The King's Speech,CINEMATOGRAPHY,14.8,7438,7.7,2010
Close Encounters of the Third Kind,CINEMATOGRAPHY,18.92,3356,7.4,1977
The Deer Hunter,FILM EDITING,17.99,2939,8,1978
Superman,FILM EDITING,45.14,3027,7.1,1978
The Boys from Brazil,FILM EDITING,9.85,295,6.7,1978
All That Jazz,DIRECTING,6.67,340,7.4,1979
Kramer vs. Kramer,DIRECTING,10.05,1759,7.6,1979
Bridesmaids,WRITING,15.42,3794,6.5,2011
The Help,BEST PICTURE,117.33,6409,8.2,2011
The Rose,FILM EDITING,6.76,86,6.8,1979
Jane Eyre,COSTUME DESIGN,10.62,1219,7.2,2011
Midnight in Paris,BEST PICTURE,15.73,6255,7.5,2011
A Separation,WRITING,11.57,1331,7.9,2011
Manhattan,WRITING,8.75,1916,7.8,1979
Raging Bull,FILM EDITING,15.08,3353,8,1980
The Descendants,BEST PICTURE,38.71,2294,6.8,2011
Ordinary People,DIRECTING,8.31,469,7.5,1980
Hugo,BEST PICTURE,22.43,6168,7.2,2011
Somewhere in Time,COSTUME DESIGN,8.42,411,7.5,1980
On Golden Pond,WRITING,7.22,347,7.3,1981
W.E.,COSTUME DESIGN,8.36,164,6.1,2011
Pennies from Heaven,WRITING,5.59,69,6.2,1981
Ragtime,WRITING,5.95,109,7.1,1981
Chariots of Fire,WRITING,9.95,671,6.9,1981
Excalibur,CINEMATOGRAPHY,10.36,750,7,1981
Tootsie,WRITING,9.86,1395,7.2,1982
Gandhi,WRITING,12.28,1886,7.5,1982
Diner,WRITING,8.04,213,6.9,1982
The Verdict,WRITING,8.08,451,7.4,1982
Mirror Mirror,COSTUME DESIGN,22.98,2868,5.9,2012
Snow White and the Huntsman,COSTUME DESIGN,63.01,7024,6,2012
Moonrise Kingdom,WRITING,9.55,4897,7.7,2012
WarGames,WRITING,9.86,1407,7.1,1983
Beasts of the Southern Wild,WRITING,7.24,879,6.8,2012
Terms of Endearment,DIRECTING,9.09,584,7.1,1983
Skyfall,CINEMATOGRAPHY,68.38,13518,7.2,2012
Argo,WRITING,15.32,7115,7.3,2012
Lincoln,COSTUME DESIGN,14.2,3211,6.9,2012
Zero Dark Thirty,BEST PICTURE,22.16,3761,7,2012
Les Misérables,BEST PICTURE,13.93,4613,7.3,2012
Amour,BEST PICTURE,9.5,1310,7.8,2012
Silver Linings Playbook,BEST PICTURE,38.71,10542,7.1,2012
Flight,WRITING,21.18,5074,6.8,2012
The Natural,CINEMATOGRAPHY,10.66,467,6.9,1984
Splash,WRITING,12.77,1066,6.3,1984
2010,COSTUME DESIGN,11.01,737,6.7,1984
Ran,DIRECTING,12.01,1131,8.1,1985
Kiss of the Spider Woman,DIRECTING,6.47,207,7.2,1985
Top Gun,FILM EDITING,891.61,5744,7,1986
The Great Gatsby,COSTUME DESIGN,31.1,10493,7.4,2013
Blue Velvet,DIRECTING,14.52,2557,7.6,1986
Before Midnight,WRITING,12.39,1855,7.5,2013
Blue Jasmine,WRITING,18.66,2957,7,2013
20 Feet from Stardom,DOCUMENTARY (Feature),8.7,197,7.3,2013
Prisoners,CINEMATOGRAPHY,43.29,9286,8.1,2013
Empire of the Sun,FILM EDITING,13.82,1499,7.5,1987
Nebraska,BEST PICTURE,6.93,1451,7.5,2013
Dallas Buyers Club,FILM EDITING,14.76,7339,7.9,2013
RoboCop,FILM EDITING,27.45,3974,7.3,1987
Radio Days,WRITING,7.89,423,7.1,1987
Philomena,BEST PICTURE,7.31,1359,7.4,2013
American Hustle,BEST PICTURE,23.16,6291,6.8,2013
The Wolf of Wall Street,BEST PICTURE,202.33,19797,8,2013
Maurice,COSTUME DESIGN,8.44,355,7.6,1987
12 Years a Slave,FILM EDITING,23.05,9700,8,2013
Rain Man,WRITING,17.86,5120,7.8,1988
The Accidental Tourist,BEST PICTURE,7.6,164,6.2,1988
Bull Durham,WRITING,12.57,436,6.7,1988
Big,WRITING,17.68,2890,7.1,1988
The Invisible Woman,COSTUME DESIGN,9.94,151,6,2013
The Last Temptation of Christ,DIRECTING,18.9,792,7.2,1988
Field of Dreams,BEST PICTURE,13.18,1143,7.1,1989
Dead Poets Society,BEST PICTURE,31.68,9140,8.3,1989
Do the Right Thing,WRITING,8.51,1312,7.8,1989
Boyhood,WRITING,12.18,4452,7.5,2014
Maleficent,COSTUME DESIGN,119.07,11642,7.1,2014
The Hunt for Red October,FILM EDITING,23.41,2599,7.4,1990
Nightcrawler,WRITING,56.69,8992,7.7,2014
Birdman or (The Unexpected Virtue of Ignorance),WRITING,27.57,11284,7.5,2014
Selma,BEST PICTURE,7.08,1932,7.4,2014
Into the Woods,COSTUME DESIGN,19.91,3855,5.8,2014
The Theory of Everything,WRITING,29.72,9337,7.9,2014
Barton Fink,COSTUME DESIGN,10.05,1304,7.5,1991
Hook,COSTUME DESIGN,26.43,4443,6.8,1991
Scent of a Woman,BEST PICTURE,17.52,2537,7.7,1992
A Few Good Men,BEST PICTURE,28.24,2751,7.5,1992
The Crying Game,BEST PICTURE,9.77,574,6.9,1992
Basic Instinct,FILM EDITING,26.54,2974,6.9,1992
The Lover,CINEMATOGRAPHY,19.84,483,6.9,1992
The Remains of the Day,BEST PICTURE,10.44,963,7.4,1993
In the Name of the Father,BEST PICTURE,13.71,1356,7.9,1993
The Fugitive,BEST PICTURE,20.59,3354,7.4,1993
Cinderella,COSTUME DESIGN,80.45,6253,6.8,2015
Mad Max: Fury Road,COSTUME DESIGN,102.32,19405,7.6,2015
Inside Out,WRITING,101.08,17888,7.9,2015
Sleepless in Seattle,WRITING,12.31,1848,6.7,1993
In the Line of Fire,FILM EDITING,13.29,1205,7,1993
Philadelphia,WRITING,15,3489,7.7,1993
The Martian,WRITING,71.02,17041,7.7,2015
Forrest Gump,BEST PICTURE,52.52,22785,8.5,1994
Brooklyn,WRITING,15.1,2726,7.3,2015
Carol,COSTUME DESIGN,14.26,3109,7.5,2015
Room,BEST PICTURE,18.72,7997,8.1,2015
Quiz Show,BEST PICTURE,7.19,701,7.3,1994
Star Wars: The Force Awakens,FILM EDITING,126.17,17034,7.3,2015
The Hateful Eight,CINEMATOGRAPHY,23.73,12115,7.7,2015
The Danish Girl,COSTUME DESIGN,36.91,5194,7.6,2015
Leaving Las Vegas,WRITING,14.45,1080,7.3,1995
Batman Forever,CINEMATOGRAPHY,32.85,4281,5.4,1995
The Usual Suspects,WRITING,17.14,8598,8.2,1995
Jerry Maguire,BEST PICTURE,20.46,2580,6.9,1996
Fargo,BEST PICTURE,18.36,6390,7.9,1996
Lone Star,WRITING,8.31,252,7.1,1996
Michael Collins,CINEMATOGRAPHY,6.43,356,6.9,1996
L.A. Confidential,BEST PICTURE,16.77,3856,7.8,1997
The Full Monty,BEST PICTURE,9.14,1278,7,1997
Arrival,BEST PICTURE,59.97,15090,7.6,2016
Fantastic Beasts and Where to Find Them,COSTUME DESIGN,374.73,16706,7.4,2016
Air Force One,FILM EDITING,19,2346,6.4,1997
Hidden Figures,BEST PICTURE,44.12,7766,8,2016
La La Land,FILM EDITING,27.45,14306,7.9,2016
Donnie Brasco,WRITING,16.23,3562,7.5,1997
Sing,SHORT FILM,112.14,6787,7.1,2016
Jackie,COSTUME DESIGN,14.92,2042,6.4,2016
20th Century Women,WRITING,11.32,963,7.3,2016
Fences,BEST PICTURE,30.12,2204,6.8,2016
Manchester by the Sea,DIRECTING,20.38,4873,7.5,2016
Florence Foster Jenkins,COSTUME DESIGN,8.32,1265,6.7,2016
Out of Sight,FILM EDITING,10.45,979,6.7,1998
Velvet Goldmine,COSTUME DESIGN,7.78,370,6.9,1998
Allied,COSTUME DESIGN,18.12,3938,6.8,2016
Logan,WRITING,80.44,16843,7.8,2017
Get Out,BEST PICTURE,45.91,14177,7.6,2017
Beauty and the Beast,COSTUME DESIGN,83.75,14144,7,2017
The Green Mile,WRITING,61.03,13987,8.5,1999
The Big Sick,WRITING,12.72,2040,7.4,2017
Call Me by Your Name,BEST PICTURE,96.94,10246,8.2,2017
Wonder Boys,WRITING,9.03,468,6.9,2000
Monster's Ball,WRITING,10.84,759,6.8,2001
About a Boy,WRITING,11.39,1849,6.6,2002
The Pianist,WRITING,38.33,7274,8.4,2002
Gangs of New York,WRITING,16.69,5493,7.3,2002
Frida,COSTUME DESIGN,20.74,1728,7.5,2002
Finding Nemo,WRITING,120.26,16427,7.8,2003
The Aviator,FILM EDITING,24.34,4370,7.2,2004
Troy,COSTUME DESIGN,49.44,8506,7.1,2004
The Phantom of the Opera,CINEMATOGRAPHY,15.02,1322,7.3,2004
Collateral,FILM EDITING,19.48,4360,7.2,2004
Munich,BEST PICTURE,14.34,2064,7.1,2005
"Good Night, and Good Luck.",BEST PICTURE,5.76,769,7.1,2005
Brokeback Mountain,BEST PICTURE,28.92,5744,7.8,2005
Cinderella Man,FILM EDITING,17.18,1767,7.5,2005
Batman Begins,CINEMATOGRAPHY,77.12,17749,7.7,2005
The Squid and the Whale,WRITING,7.11,725,7,2005
Letters from Iwo Jima,WRITING,14.8,1613,7.5,2006
The Departed,WRITING,33.47,12425,8.2,2006
Curse of the Golden Flower,COSTUME DESIGN,12.27,577,6.8,2006
Blood Diamond,FILM EDITING,39.07,6261,7.5,2006
The Diving Bell and the Butterfly,WRITING,12.01,926,7.6,2007
Michael Clayton,WRITING,10.89,1322,6.8,2007
The Bourne Ultimatum,FILM EDITING,25.9,6455,7.4,2007
The Prestige,CINEMATOGRAPHY,24.74,13069,8.2,2006
Australia,COSTUME DESIGN,14.09,1942,6.6,2008
The Black Dahlia,CINEMATOGRAPHY,13.68,873,5.6,2006
Up in the Air,BEST PICTURE,17.4,3012,6.8,2009
Nine,COSTUME DESIGN,9.57,485,5.6,2009
Ratatouille,WRITING,166.96,13980,7.8,2007
A Serious Man,WRITING,7.58,1661,6.8,2009
The Blind Side,BEST PICTURE,82.78,5125,7.7,2009
The Fighter,DIRECTING,15.08,3605,7.4,2010
Extremely Loud & Incredibly Close,BEST PICTURE,11.02,1738,7,2011
Anna Karenina,COSTUME DESIGN,19.1,1979,6.7,2012
Her,BEST PICTURE,32.02,12118,7.9,2013
The Imitation Game,WRITING,58.26,14664,8,2014
Lion,CINEMATOGRAPHY,24.38,5720,8.1,2016
The Assassination of Jesse James by the Coward Robert Ford,CINEMATOGRAPHY,11.98,1988,7.1,2007
In Bruges,WRITING,15.36,4026,7.5,2008
Frost/Nixon,FILM EDITING,7.93,943,7.3,2008
Milk,FILM EDITING,3.81,37,6,2008
District 9,WRITING,70.23,7885,7.4,2009
The Imaginarium of Doctor Parnassus,COSTUME DESIGN,13.19,2348,6.4,2009
The Messenger,WRITING,6.08,330,6.8,2009
The Social Network,CINEMATOGRAPHY,30.21,10023,7.3,2010
Moneyball,FILM EDITING,21.29,4021,7.2,2011
The Ides of March,WRITING,9.16,2033,6.7,2011
Tinker Tailor Soldier Spy,WRITING,14.1,2115,6.6,2011
The Artist,FILM EDITING,11.97,2708,7.4,2011
Margin Call,WRITING,11.77,1352,6.8,2011
The Girl with the Dragon Tattoo,FILM EDITING,17.34,5837,7.4,2011
War Horse,BEST PICTURE,30.45,2854,7.3,2011
Life of Pi,BEST PICTURE,44.64,11576,7.4,2012
Django Unchained,BEST PICTURE,73.13,22570,8.1,2012
The Grandmaster,CINEMATOGRAPHY,36.26,680,6.5,2013
Captain Phillips,BEST PICTURE,16.05,5830,7.6,2013
Inside Llewyn Davis,CINEMATOGRAPHY,10.03,2207,7.2,2013
The Grand Budapest Hotel,FILM EDITING,30.36,12325,8.1,2014
Whiplash,WRITING,50.91,12221,8.4,2014
Inherent Vice,WRITING,16.8,2096,6.6,2014
Foxcatcher,WRITING,9.08,1958,6.7,2014
Mr. Turner,COSTUME DESIGN,5.94,427,6.5,2014
American Sniper,WRITING,94.99,11135,7.4,2014
Ex Machina,WRITING,27.7,11283,7.6,2015
Straight Outta Compton,WRITING,51.35,3205,7.8,2015
Bridge of Spies,WRITING,15.99,5928,7.2,2015
The Big Short,WRITING,24.62,7454,7.3,2015
Spotlight,BEST PICTURE,13.28,7181,7.8,2015
Hell or High Water,FILM EDITING,17.9,3734,7.3,2016
Hacksaw Ridge,FILM EDITING,242.05,10973,8.2,2016
Moonlight,FILM EDITING,20.23,6108,7.4,2016
Baby Driver,FILM EDITING,78.96,13245,7.5,2017
Boys Town,WRITING,4.23,58,6.7,1938
The Thief of Bagdad,CINEMATOGRAPHY,10.24,196,7.2,1940
Sun Valley Serenade,CINEMATOGRAPHY,2.29,17,6.2,1941
Sahara,CINEMATOGRAPHY,6.02,96,7.3,1943
"Objective, Burma!",WRITING,4.15,60,7,1945
Anchors Aweigh,CINEMATOGRAPHY,6.64,122,6.8,1945
Red River,WRITING,9.36,363,7.4,1948
The Treasure of the Sierra Madre,WRITING,9.43,882,8,1948
The African Queen,DIRECTING,9.24,699,7.4,1951
The Big Sky,CINEMATOGRAPHY,4.66,67,6.6,1952
Stalag 17,DIRECTING,10.81,440,7.8,1953
On the Waterfront,BEST PICTURE,11.5,1187,8,1954
"Heaven Knows, Mr. Allison",WRITING,5.6,95,6.9,1957
The Defiant Ones,BEST PICTURE,6.16,164,7.1,1958
The Hustler,WRITING,9.71,729,7.8,1961
Lawrence of Arabia,WRITING,20.55,2308,8,1962
The Longest Day,CINEMATOGRAPHY,11.52,740,7.6,1962
The Flight of the Phoenix,FILM EDITING,16.01,232,7.2,1965
Fantastic Voyage,CINEMATOGRAPHY,8.56,317,6.8,1966
Blow-Up,WRITING,8.83,926,7.4,1966
The Dirty Dozen,FILM EDITING,12.94,920,7.6,1967
2001: A Space Odyssey,WRITING,32.85,9374,8.1,1968
Ice Station Zebra,CINEMATOGRAPHY,7.36,117,6.2,1968
Death in Venice,COSTUME DESIGN,6.95,349,7.3,1971
Sleuth,DIRECTING,8.04,452,7.7,1972
Midnight Express,BEST PICTURE,10.12,1304,7.5,1978
Apocalypse Now,FILM EDITING,25.09,6536,8.3,1979
The Black Hole,CINEMATOGRAPHY,11.11,331,5.8,1979
The Blue Lagoon,CINEMATOGRAPHY,40.81,1453,6.2,1980
Tron,COSTUME DESIGN,22.2,1751,6.7,1982
Beverly Hills Cop,WRITING,15.95,3206,7.2,1984
A Soldier's Story,WRITING,6.92,122,6.9,1984
Stand by Me,WRITING,20.44,4573,7.9,1986
Platoon,CINEMATOGRAPHY,25.81,3555,7.7,1986
The Mission,FILM EDITING,10.99,1101,7.4,1986
Pirates,COSTUME DESIGN,5.87,182,6.3,1986
Full Metal Jacket,WRITING,31.33,8551,8.1,1987
Glory,FILM EDITING,12.24,1218,7.5,1989
Searching for Bobby Fischer,CINEMATOGRAPHY,9.19,431,7.2,1993
Farewell My Concubine,CINEMATOGRAPHY,10.93,372,7.9,1993
Good Will Hunting,WRITING,41.14,9664,8.1,1997
Saving Private Ryan,WRITING,60.37,13071,8.2,1998
Gladiator,COSTUME DESIGN,44.94,15179,8.2,2000
"O Brother, Where Art Thou?",WRITING,15.62,3324,7.3,2000
Black Hawk Down,FILM EDITING,40.38,4577,7.4,2001
Road to Perdition,CINEMATOGRAPHY,15.98,2911,7.4,2002
Master and Commander: The Far Side of the World,BEST PICTURE,14.6,2472,7.1,2003
The Last Samurai,COSTUME DESIGN,31.6,5607,7.5,2003
Before Sunset,WRITING,12.35,2645,7.8,2004
The Illusionist,CINEMATOGRAPHY,19.12,4066,7.3,2006
Restrepo,DOCUMENTARY (Feature),8.57,268,7.4,2010
The Tree of Life,BEST PICTURE,12.3,2586,6.7,2011
Gravity,FILM EDITING,24.39,13366,7.2,2013
Cutie and the Boxer,DOCUMENTARY (Feature),6.16,60,7.1,2013
Unbroken,CINEMATOGRAPHY,16.56,3540,7.5,2014
Sicario,CINEMATOGRAPHY,59.07,6950,7.4,2015
The Revenant,COSTUME DESIGN,55.09,15830,7.5,2015
Silence,CINEMATOGRAPHY,29.8,2550,7.1,2016
Dunkirk,BEST PICTURE,31.54,14090,7.5,2017
