year,film,Genre
2012,Snow White and the Huntsman,Adventure
2012,Snow White and the Huntsman,Fantasy
2012,Snow White and the Huntsman,Drama
2012,Moonrise Kingdom,Comedy
2012,Moonrise Kingdom,Drama
2012,Moonrise Kingdom,Romance
1983,WarGames,Action
2012,Beasts of the Southern Wild,Drama
2012,Beasts of the Southern Wild,Fantasy
1983,Terms of Endearment,Drama
1983,Terms of Endearment,Comedy
2012,Skyfall,Action
2012,Skyfall,Adventure
2012,Skyfall,Thriller
2012,Argo,Drama
2012,Argo,Thriller
2012,Lincoln,History
2012,Lincoln,Drama
2012,Zero Dark Thirty,Thriller
2012,Zero Dark Thirty,Drama
2012,Zero Dark Thirty,History
2012,Les Misérables,History
2012,Les Misérables,Drama
2012,Amour,Drama
2012,Amour,Romance
2012,Silver Linings Playbook,Drama
2012,Silver Linings Playbook,Comedy
2012,Silver Linings Playbook,Romance
2012,Flight,Drama
1984,The Natural,Drama
1984,Splash,Comedy
1984,Splash,Fantasy
1984,Splash,Romance
1984,2010,Thriller
1984,2010,Science Fiction
1985,Ran,Action
1985,Ran,Drama
1985,Ran,History
1985,Kiss of the Spider Woman,Drama
1986,Top Gun,Action
1986,Top Gun,Drama
1986,Top Gun,Adventure
2013,The Great Gatsby,Drama
2013,The Great Gatsby,Romance
1986,Blue Velvet,Drama
1986,Blue Velvet,Crime
1986,Blue Velvet,Mystery
1986,Blue Velvet,Thriller
2013,Before Midnight,Romance
2013,Before Midnight,Drama
2013,Blue Jasmine,Drama
2013,20 Feet from Stardom,Documentary
2013,20 Feet from Stardom,Music
2013,Prisoners,Drama
2013,Prisoners,Thriller
2013,Prisoners,Crime
1987,Empire of the Sun,Drama
1987,Empire of the Sun,History
1987,Empire of the Sun,War
2013,Nebraska,Drama
2013,Nebraska,Adventure
2013,Dallas Buyers Club,Drama
2013,Dallas Buyers Club,History
1987,RoboCop,Action
1987,RoboCop,Thriller
1987,RoboCop,Science Fiction
1987,Radio Days,Comedy
1987,Radio Days,Drama
1987,Radio Days,Music
2013,Philomena,Drama
2013,American Hustle,Drama
2013,American Hustle,Crime
2013,The Wolf of Wall Street,Crime
2013,The Wolf of Wall Street,Drama
2013,The Wolf of Wall Street,Comedy
1987,Maurice,Drama
1987,Maurice,Romance
2013,12 Years a Slave,Drama
2013,12 Years a Slave,History
1988,Rain Man,Drama
1988,The Accidental Tourist,Drama
1988,The Accidental Tourist,Romance
1988,The Accidental Tourist,Comedy
1988,Bull Durham,Comedy
1988,Bull Durham,Romance
1988,Big,Fantasy
1988,Big,Drama
1988,Big,Comedy
1988,Big,Romance
1988,Big,Family
2013,The Invisible Woman,Drama
2013,The Invisible Woman,History
2013,The Invisible Woman,Romance
1988,The Last Temptation of Christ,Drama
1989,Field of Dreams,Drama
1989,Field of Dreams,Fantasy
1989,Field of Dreams,Comedy
1989,Dead Poets Society,Drama
1989,Do the Right Thing,Drama
2014,Boyhood,Drama
2014,Maleficent,Fantasy
2014,Maleficent,Adventure
2014,Maleficent,Action
2014,Maleficent,Family
2014,Maleficent,Romance
1990,The Hunt for Red October,Action
1990,The Hunt for Red October,Adventure
1990,The Hunt for Red October,Thriller
2014,Nightcrawler,Crime
2014,Nightcrawler,Drama
2014,Nightcrawler,Thriller
2014,Birdman or (The Unexpected Virtue of Ignorance),Drama
2014,Birdman or (The Unexpected Virtue of Ignorance),Comedy
2014,Selma,History
2014,Selma,Drama
2014,Into the Woods,Fantasy
2014,Into the Woods,Comedy
2014,The Theory of Everything,Drama
2014,The Theory of Everything,Romance
1991,Barton Fink,Comedy
1991,Barton Fink,Drama
1991,Barton Fink,Crime
1991,Hook,Adventure
1991,Hook,Fantasy
1991,Hook,Comedy
1991,Hook,Family
1992,Scent of a Woman,Drama
1992,A Few Good Men,Drama
1992,The Crying Game,Crime
1992,The Crying Game,Drama
1992,The Crying Game,Thriller
1992,Basic Instinct,Thriller
1992,Basic Instinct,Mystery
1992,The Lover,Drama
1992,The Lover,Romance
1993,The Remains of the Day,Drama
1993,The Remains of the Day,Romance
1993,In the Name of the Father,Drama
1993,The Fugitive,Drama
1993,The Fugitive,Action
1993,The Fugitive,Thriller
2015,Cinderella,Romance
2015,Cinderella,Fantasy
2015,Cinderella,Family
2015,Cinderella,Drama
2015,Mad Max: Fury Road,Action
2015,Mad Max: Fury Road,Adventure
2015,Mad Max: Fury Road,Science Fiction
2015,Inside Out,Animation
2015,Inside Out,Family
2015,Inside Out,Adventure
2015,Inside Out,Drama
2015,Inside Out,Comedy
1993,Sleepless in Seattle,Comedy
1993,Sleepless in Seattle,Drama
1993,Sleepless in Seattle,Romance
1993,In the Line of Fire,Action
1993,In the Line of Fire,Drama
1993,In the Line of Fire,Thriller
1993,In the Line of Fire,Crime
1993,In the Line of Fire,Mystery
1993,Philadelphia,Drama
2015,The Martian,Drama
2015,The Martian,Adventure
2015,The Martian,Science Fiction
1994,Forrest Gump,Comedy
1994,Forrest Gump,Drama
1994,Forrest Gump,Romance
2015,Brooklyn,Romance
2015,Brooklyn,Drama
2015,Carol,Romance
2015,Carol,Drama
2015,Room,Drama
2015,Room,Thriller
1994,Quiz Show,History
1994,Quiz Show,Drama
1994,Quiz Show,Mystery
2015,Star Wars: The Force Awakens,Adventure
2015,Star Wars: The Force Awakens,Action
2015,Star Wars: The Force Awakens,Science Fiction
2015,Star Wars: The Force Awakens,Fantasy
2015,The Hateful Eight,Drama
2015,The Hateful Eight,Mystery
2015,The Hateful Eight,Western
2015,The Danish Girl,Drama
1995,Leaving Las Vegas,Drama
1995,Leaving Las Vegas,Romance
1995,Batman Forever,Action
1995,Batman Forever,Crime
1995,Batman Forever,Fantasy
1995,The Usual Suspects,Drama
1995,The Usual Suspects,Crime
1995,The Usual Suspects,Thriller
1996,Jerry Maguire,Comedy
1996,Jerry Maguire,Drama
1996,Jerry Maguire,Romance
1996,Fargo,Crime
1996,Fargo,Drama
1996,Fargo,Thriller
1996,Lone Star,Drama
1996,Lone Star,Mystery
1996,Lone Star,Romance
1996,Michael Collins,War
1996,Michael Collins,Drama
1996,Michael Collins,Thriller
1996,Michael Collins,History
1997,L.A. Confidential,Crime
1997,L.A. Confidential,Drama
1997,L.A. Confidential,Mystery
1997,L.A. Confidential,Thriller
1997,The Full Monty,Comedy
2016,Arrival,Drama
2016,Arrival,Science Fiction
2016,Arrival,Mystery
2016,Fantastic Beasts and Where to Find Them,Fantasy
2016,Fantastic Beasts and Where to Find Them,Adventure
2016,Fantastic Beasts and Where to Find Them,Action
1997,Air Force One,Action
1997,Air Force One,Thriller
2016,Hidden Figures,Drama
2016,Hidden Figures,History
2016,La La Land,Comedy
2016,La La Land,Drama
2016,La La Land,Romance
2016,La La Land,Music
1997,Donnie Brasco,Crime
1997,Donnie Brasco,Drama
1997,Donnie Brasco,Thriller
2016,Sing,Animation
2016,Sing,Comedy
2016,Sing,Family
2016,Sing,Music
2016,Jackie,Drama
2016,20th Century Women,Drama
2016,Fences,Drama
2016,Manchester by the Sea,Drama
2016,Florence Foster Jenkins,Comedy
2016,Florence Foster Jenkins,Drama
1998,Out of Sight,Romance
1998,Out of Sight,Comedy
1998,Out of Sight,Crime
1998,Velvet Goldmine,Drama
1998,Velvet Goldmine,Music
2016,Allied,Action
2016,Allied,Drama
2016,Allied,War
2016,Allied,Romance
2016,Allied,Thriller
2017,Logan,Action
2017,Logan,Drama
2017,Logan,Science Fiction
2017,Get Out,Mystery
2017,Get Out,Thriller
2017,Get Out,Horror
2017,Beauty and the Beast,Family
2017,Beauty and the Beast,Fantasy
2017,Beauty and the Beast,Romance
1999,The Green Mile,Fantasy
1999,The Green Mile,Drama
1999,The Green Mile,Crime
2017,The Big Sick,Comedy
2017,The Big Sick,Drama
2017,The Big Sick,Romance
2017,Call Me by Your Name,Romance
2017,Call Me by Your Name,Drama
2000,Wonder Boys,Comedy
2000,Wonder Boys,Drama
2001,Monster's Ball,Drama
2001,Monster's Ball,Romance
2002,About a Boy,Drama
2002,About a Boy,Comedy
2002,About a Boy,Romance
2002,The Pianist,Drama
2002,The Pianist,War
2002,Gangs of New York,Drama
2002,Gangs of New York,History
2002,Gangs of New York,Crime
2002,Frida,Drama
2002,Frida,Romance
2003,Finding Nemo,Animation
2003,Finding Nemo,Family
2004,The Aviator,Drama
2004,Troy,Adventure
2004,Troy,History
2004,Troy,War
2004,Troy,Action
2004,The Phantom of the Opera,Thriller
2004,The Phantom of the Opera,Drama
2004,The Phantom of the Opera,Romance
2004,Collateral,Drama
2004,Collateral,Crime
2004,Collateral,Thriller
2005,Munich,Drama
2005,Munich,Action
2005,Munich,History
2005,Munich,Thriller
2005,"Good Night, and Good Luck.",Drama
2005,"Good Night, and Good Luck.",History
2005,Brokeback Mountain,Drama
2005,Brokeback Mountain,Romance
2005,Cinderella Man,Romance
2005,Cinderella Man,Drama
2005,Cinderella Man,History
2005,Batman Begins,Action
2005,Batman Begins,Crime
2005,Batman Begins,Drama
2005,The Squid and the Whale,Comedy
2005,The Squid and the Whale,Drama
2006,Letters from Iwo Jima,Action
2006,Letters from Iwo Jima,Drama
2006,Letters from Iwo Jima,War
2006,The Departed,Drama
2006,The Departed,Thriller
2006,The Departed,Crime
2006,Curse of the Golden Flower,Action
2006,Curse of the Golden Flower,Drama
2006,Curse of the Golden Flower,Fantasy
2006,Blood Diamond,Drama
2006,Blood Diamond,Thriller
2006,Blood Diamond,Action
2007,The Diving Bell and the Butterfly,Drama
2007,Michael Clayton,Drama
2007,Michael Clayton,Thriller
2007,The Bourne Ultimatum,Action
2007,The Bourne Ultimatum,Drama
2007,The Bourne Ultimatum,Mystery
2007,The Bourne Ultimatum,Thriller
2006,The Prestige,Drama
2006,The Prestige,Mystery
2006,The Prestige,Science Fiction
2008,Australia,Adventure
2008,Australia,Drama
2008,Australia,Romance
2006,The Black Dahlia,Drama
2006,The Black Dahlia,Crime
2006,The Black Dahlia,Thriller
2009,Up in the Air,Drama
2009,Up in the Air,Romance
2009,Nine,Drama
2009,Nine,Music
2009,Nine,Romance
2007,Ratatouille,Animation
2007,Ratatouille,Comedy
2007,Ratatouille,Family
2007,Ratatouille,Fantasy
2009,A Serious Man,Comedy
2009,A Serious Man,Drama
2009,The Blind Side,Drama
2010,The Fighter,Drama
2011,Extremely Loud & Incredibly Close,Drama
2012,Anna Karenina,Drama
2012,Anna Karenina,Romance
2013,Her,Romance
2013,Her,Science Fiction
2013,Her,Drama
2014,The Imitation Game,History
2014,The Imitation Game,Drama
2014,The Imitation Game,Thriller
2014,The Imitation Game,War
2016,Lion,Drama
2007,The Assassination of Jesse James by the Coward Robert Ford,Action
2007,The Assassination of Jesse James by the Coward Robert Ford,Drama
2007,The Assassination of Jesse James by the Coward Robert Ford,Western
2008,In Bruges,Comedy
2008,In Bruges,Drama
2008,In Bruges,Crime
2008,Frost/Nixon,Drama
2008,Frost/Nixon,History
2008,Milk,Drama
2009,District 9,Science Fiction
2009,The Imaginarium of Doctor Parnassus,Adventure
2009,The Imaginarium of Doctor Parnassus,Fantasy
2009,The Imaginarium of Doctor Parnassus,Mystery
2009,The Messenger,Drama
2010,The Social Network,Drama
2011,Moneyball,Drama
2011,The Ides of March,Drama
2011,Tinker Tailor Soldier Spy,Drama
2011,Tinker Tailor Soldier Spy,Thriller
2011,Tinker Tailor Soldier Spy,Mystery
2011,The Artist,Drama
2011,The Artist,Comedy
2011,The Artist,Romance
2011,Margin Call,Thriller
2011,Margin Call,Drama
2011,The Girl with the Dragon Tattoo,Thriller
2011,The Girl with the Dragon Tattoo,Crime
2011,The Girl with the Dragon Tattoo,Mystery
2011,War Horse,War
2011,War Horse,Drama
2011,War Horse,Action
2012,Life of Pi,Adventure
2012,Life of Pi,Drama
2012,Django Unchained,Drama
2012,Django Unchained,Western
2013,The Grandmaster,Action
2013,The Grandmaster,Drama
2013,The Grandmaster,History
2013,Captain Phillips,Action
2013,Captain Phillips,Drama
2013,Captain Phillips,Thriller
2013,Inside Llewyn Davis,Drama
2013,Inside Llewyn Davis,Music
2014,The Grand Budapest Hotel,Comedy
2014,The Grand Budapest Hotel,Drama
2014,Whiplash,Drama
2014,Whiplash,Music
2014,Inherent Vice,Drama
2014,Inherent Vice,Mystery
2014,Inherent Vice,Comedy
2014,Foxcatcher,Drama
2014,Foxcatcher,Thriller
2014,Mr. Turner,History
2014,Mr. Turner,Drama
2014,American Sniper,War
2014,American Sniper,Action
2015,Ex Machina,Drama
2015,Ex Machina,Science Fiction
2015,Straight Outta Compton,Drama
2015,Straight Outta Compton,Music
2015,Straight Outta Compton,History
2015,Bridge of Spies,Thriller
2015,Bridge of Spies,Drama
2015,The Big Short,Comedy
2015,The Big Short,Drama
2015,Spotlight,Drama
2015,Spotlight,History
2016,Hell or High Water,Crime
2016,Hell or High Water,Thriller
2016,Hell or High Water,Drama
2016,Hell or High Water,Western
2016,Hacksaw Ridge,Drama
2016,Hacksaw Ridge,History
2016,Hacksaw Ridge,War
2016,Moonlight,Drama
2017,Baby Driver,Action
2017,Baby Driver,Crime
1938,Boys Town,Drama
1940,The Thief of Bagdad,Action
1940,The Thief of Bagdad,Adventure
1940,The Thief of Bagdad,Family
1940,The Thief of Bagdad,Fantasy
1941,Sun Valley Serenade,Comedy
1941,Sun Valley Serenade,Music
1941,Sun Valley Serenade,Romance
1943,Sahara,Action
1943,Sahara,Adventure
1943,Sahara,Drama
1943,Sahara,War
1945,"Objective, Burma!",Action
1945,"Objective, Burma!",Drama
1945,"Objective, Burma!",War
1945,"Objective, Burma!",Adventure
1945,Anchors Aweigh,Comedy
1945,Anchors Aweigh,Fantasy
1945,Anchors Aweigh,Music
1945,Anchors Aweigh,Romance
1945,Anchors Aweigh,War
1948,Red River,Western
1948,Red River,Adventure
1948,Red River,Drama
1948,Red River,Romance
1948,The Treasure of the Sierra Madre,Adventure
1948,The Treasure of the Sierra Madre,Drama
1948,The Treasure of the Sierra Madre,Western
1951,The African Queen,Adventure
1951,The African Queen,Romance
1952,The Big Sky,Adventure
1952,The Big Sky,Western
1953,Stalag 17,War
1953,Stalag 17,Comedy
1953,Stalag 17,Thriller
1954,On the Waterfront,Crime
1954,On the Waterfront,Drama
1957,"Heaven Knows, Mr. Allison",Adventure
1957,"Heaven Knows, Mr. Allison",Drama
1957,"Heaven Knows, Mr. Allison",War
1958,The Defiant Ones,Crime
1958,The Defiant Ones,Drama
1961,The Hustler,Drama
1962,Lawrence of Arabia,War
1962,Lawrence of Arabia,History
1962,Lawrence of Arabia,Adventure
1962,Lawrence of Arabia,Drama
1962,The Longest Day,War
1965,The Flight of the Phoenix,Adventure
1966,Fantastic Voyage,Adventure
1966,Fantastic Voyage,Science Fiction
1966,Blow-Up,Drama
1966,Blow-Up,Mystery
1966,Blow-Up,Thriller
1967,The Dirty Dozen,Action
1967,The Dirty Dozen,Adventure
1967,The Dirty Dozen,War
1968,2001: A Space Odyssey,Science Fiction
1968,2001: A Space Odyssey,Mystery
1968,2001: A Space Odyssey,Adventure
1968,Ice Station Zebra,Adventure
1968,Ice Station Zebra,Thriller
1971,Death in Venice,Drama
1972,Sleuth,Mystery
1972,Sleuth,Thriller
1972,Sleuth,Crime
1978,Midnight Express,Drama
1978,Midnight Express,Crime
1979,Apocalypse Now,Drama
1979,Apocalypse Now,War
1979,The Black Hole,Adventure
1979,The Black Hole,Family
1979,The Black Hole,Science Fiction
1979,The Black Hole,Action
1980,The Blue Lagoon,Romance
1980,The Blue Lagoon,Adventure
1982,Tron,Science Fiction
1982,Tron,Action
1982,Tron,Adventure
1984,Beverly Hills Cop,Action
1984,Beverly Hills Cop,Comedy
1984,Beverly Hills Cop,Crime
1984,A Soldier's Story,Drama
1984,A Soldier's Story,Mystery
1984,A Soldier's Story,War
1984,A Soldier's Story,Crime
1986,Stand by Me,Crime
1986,Stand by Me,Drama
1986,Platoon,Drama
1986,Platoon,War
1986,Platoon,Action
1986,The Mission,Adventure
1986,The Mission,Drama
1986,The Mission,Action
1986,The Mission,History
1986,Pirates,Adventure
1986,Pirates,Comedy
1987,Full Metal Jacket,Drama
1987,Full Metal Jacket,War
1989,Glory,Drama
1989,Glory,History
1989,Glory,War
1993,Searching for Bobby Fischer,Drama
1993,Farewell My Concubine,Drama
1997,Good Will Hunting,Drama
1998,Saving Private Ryan,Drama
1998,Saving Private Ryan,History
1998,Saving Private Ryan,War
2000,Gladiator,Action
2000,Gladiator,Drama
2000,Gladiator,Adventure
2000,"O Brother, Where Art Thou?",Adventure
2000,"O Brother, Where Art Thou?",Comedy
2000,"O Brother, Where Art Thou?",Crime
2001,Black Hawk Down,Action
2001,Black Hawk Down,History
2001,Black Hawk Down,War
2002,Road to Perdition,Crime
2002,Road to Perdition,Drama
2002,Road to Perdition,Thriller
2003,Master and Commander: The Far Side of the World,Adventure
2003,Master and Commander: The Far Side of the World,Drama
2003,Master and Commander: The Far Side of the World,War
2003,The Last Samurai,Drama
2003,The Last Samurai,Action
2003,The Last Samurai,War
2003,The Last Samurai,History
2004,Before Sunset,Drama
2004,Before Sunset,Romance
2006,The Illusionist,Fantasy
2006,The Illusionist,Drama
2006,The Illusionist,Thriller
2006,The Illusionist,Romance
2010,Restrepo,War
2010,Restrepo,Documentary
2011,The Tree of Life,Drama
2011,The Tree of Life,Fantasy
2013,Gravity,Science Fiction
2013,Gravity,Thriller
2013,Gravity,Drama
2013,Cutie and the Boxer,Documentary
2014,Unbroken,Drama
2014,Unbroken,War
2015,Sicario,Action
2015,Sicario,Crime
2015,Sicario,Thriller
2015,The Revenant,Western
2015,The Revenant,Drama
2015,The Revenant,Adventure
2016,Silence,Drama
2016,Silence,History
2017,Dunkirk,War
2017,Dunkirk,Action
2017,Dunkirk,Drama
