film,year,movies.budget,movies.revenue,movies.popularity,status
Pan's Labyrinth,2006,19000000,83258226,43.94,nominated
Little Children,2006,26000000,14821658,16.65,nominated
Little Miss Sunshine,2006,8000000,100523181,15.25,winner
In the Heat of the Night,1967,2000000,27379978,8.71,nominated
The Queen,2006,15000000,123384128,11.92,nominated
The Graduate,1967,3000000,104945305,14.47,winner
Notes on a Scandal,2006,15000000,49814392,10.25,nominated
Oliver!,1968,10000000,37402877,10.94,nominated
Planet of the Apes,1968,5800000,32589624,31.81,nominated
Dreamgirls,2006,70000000,154937680,12.74,nominated
Babel,2006,25000000,135330182,16.56,nominated
Bullitt,1968,5500000,42300873,8.98,winner
Z,1969,0,83305,11.3,nominated
Midnight Cowboy,1969,3600000,44785053,10.04,winner
Butch Cassidy and the Sundance Kid,1969,6000000,102308889,12.17,nominated
Juno,2007,7500000,232372681,20.83,nominated
"They Shoot Horses, Don't They?",1969,0,0,7.85,nominated
Alice's Restaurant,1969,0,0,4.43,nominated
The Savages,2007,0,10653221,6.31,nominated
No Country for Old Men,2007,25000000,171627166,25.94,nominated
Easy Rider,1969,360000,60000000,11.34,nominated
Atonement,2007,30000000,131016624,21.51,nominated
Love Story,1970,2200000,136400000,9.09,nominated
Patton,1970,12000000,89800000,9.46,winner
Tora! Tora! Tora!,1970,25485000,37150000,12.1,nominated
Lars and the Real Girl,2007,12000000,11293663,10.1,nominated
La Vie en Rose,2007,25000000,86274793,12.95,nominated
Elizabeth: The Golden Age,2007,55000000,74237563,11.96,winner
Across the Universe,2007,45000000,29625761,10.86,nominated
A Clockwork Orange,1971,2200000,26589000,36.41,nominated
The French Connection,1971,1800000,41158757,9.39,nominated
The Last Picture Show,1971,1300000,29133000,8.27,nominated
The Dark Knight,2008,185000000,1004558444,88.38,nominated
The Godfather,1972,6000000,245066411,68.09,winner
The Curious Case of Benjamin Button,2008,150000000,333932083,39.14,nominated
The Poseidon Adventure,1972,5000000,84563118,12.15,nominated
1776,1972,0,0,9.28,nominated
Happy-Go-Lucky,2008,0,18696602,7.61,nominated
Deliverance,1972,2000000,46122355,9.94,nominated
The Sting,1973,5500000,159616327,11.63,winner
American Graffiti,1973,777000,140000000,8.57,nominated
A Touch of Class,1973,0,18312000,2.33,nominated
The Duchess,2008,17759769,43306325,13.97,winner
Serpico,1973,3000000,29800000,8.62,nominated
In the Loop,2009,0,6149791,8.81,nominated
The Conversation,1974,1600000,4420000,9.62,nominated
Inglourious Basterds,2009,70000000,321457747,89.72,nominated
Avatar,2009,237000000,2847246203,523.1,nominated
Blazing Saddles,1974,2600000,119500000,11.01,nominated
Chinatown,1974,6000000,30000000,16.63,nominated
The Towering Inferno,1974,14000000,116000000,9.54,winner
An Education,2009,7500000,26096852,9.55,nominated
Bright Star,2009,10000000,14374652,9.1,nominated
Young Frankenstein,1974,2800000,86273333,14.4,nominated
The Young Victoria,2009,35000000,29196409,10.96,winner
Barry Lyndon,1975,11000000,198992,12.18,nominated
All the President's Men,1976,8500000,70600000,15.75,winner
Rocky,1976,1000000,117250402,51.6,nominated
Taxi Driver,1976,1300000,28570902,40.49,nominated
Two-Minute Warning,1976,0,0,4.89,nominated
Alice in Wonderland,2010,200000000,1025467110,140.22,winner
Winter's Bone,2010,2000000,13831503,9.48,nominated
Toy Story 3,2010,200000000,1066969703,125.48,nominated
I Am Love,2010,3600000,12014663,6.53,nominated
Logan's Run,1976,9000000,25000000,13.22,nominated
The Kids Are All Right,2010,3500000,34705850,8.58,nominated
Inception,2010,160000000,825532764,127.44,winner
Star Wars,1977,11000000,775398007,130.64,nominated
The Tempest,2010,0,0,1.87,nominated
Black Swan,2010,13000000,329398046,29.71,nominated
127 Hours,2010,18000000,35692920,22.51,nominated
Another Year,2010,8000000,18124262,7.56,nominated
True Grit,2010,38000000,252276927,19.98,nominated
The King's Speech,2010,15000000,414211549,14.8,nominated
Close Encounters of the Third Kind,1977,20000000,306889114,18.92,winner
The Deer Hunter,1978,15000000,50000000,17.99,winner
Superman,1978,55000000,300218018,45.14,nominated
The Boys from Brazil,1978,0,0,9.85,nominated
All That Jazz,1979,12000000,37823676,6.67,nominated
Kramer vs. Kramer,1979,8000000,106260000,10.05,winner
Bridesmaids,2011,32500000,288383523,15.42,nominated
The Help,2011,25000000,216639112,117.33,nominated
The Rose,1979,9250000,29174648,6.76,nominated
Jane Eyre,2011,0,34710627,10.62,nominated
Midnight in Paris,2011,17000000,151119219,15.73,nominated
A Separation,2011,5000000,24426169,11.57,nominated
Manhattan,1979,9000000,39946780,8.75,nominated
Raging Bull,1980,18000000,23000000,15.08,winner
The Descendants,2011,20000000,177243185,38.71,nominated
Ordinary People,1980,6000000,54766923,8.31,winner
Hugo,2011,170000000,185770160,22.43,nominated
Somewhere in Time,1980,5100000,0,8.42,nominated
On Golden Pond,1981,15000000,119285432,7.22,winner
W.E.,2011,15000000,868439,8.36,nominated
Pennies from Heaven,1981,22000000,9171289,5.59,nominated
Ragtime,1981,0,0,5.95,nominated
Chariots of Fire,1981,5500000,58972904,9.95,winner
Excalibur,1981,11000000,34967437,10.36,nominated
Tootsie,1982,21000000,177200000,9.86,nominated
Gandhi,1982,22000000,77737889,12.28,winner
Diner,1982,0,0,8.04,nominated
The Verdict,1982,16000000,53977250,8.08,nominated
Mirror Mirror,2012,85000000,183018522,22.98,nominated
Snow White and the Huntsman,2012,170000000,396600000,63.01,nominated
Moonrise Kingdom,2012,16000000,68263166,9.55,nominated
WarGames,1983,12000000,79567667,9.86,nominated
Beasts of the Southern Wild,2012,1800000,21107746,7.24,nominated
Terms of Endearment,1983,8000000,108423749,9.09,winner
Skyfall,2012,200000000,1108569499,68.38,nominated
Argo,2012,44500000,232325503,15.32,winner
Lincoln,2012,65000000,275293450,14.2,nominated
Zero Dark Thirty,2012,40000000,132820716,22.16,nominated
Les Misérables,2012,61000000,441809770,13.93,nominated
Amour,2012,8900000,29844753,9.5,nominated
Silver Linings Playbook,2012,21000000,236412453,38.71,nominated
Flight,2012,31000000,161772375,21.18,nominated
The Natural,1984,28000000,47951979,10.66,nominated
Splash,1984,8000000,69821334,12.77,nominated
2010,1984,28000000,40400657,11.01,nominated
Ran,1985,11500005,11859533,12.01,nominated
Kiss of the Spider Woman,1985,11,17005229,6.47,nominated
Top Gun,1986,15000000,356830601,891.61,nominated
The Great Gatsby,2013,105000000,351040419,31.1,winner
Blue Velvet,1986,6000000,8618766,14.52,nominated
Before Midnight,2013,3000000,11176469,12.39,nominated
Blue Jasmine,2013,18000000,99206215,18.66,nominated
20 Feet from Stardom,2013,1000000,5892466,8.7,winner
Prisoners,2013,46000000,122126687,43.29,nominated
Empire of the Sun,1987,35000000,66700000,13.82,nominated
Nebraska,2013,12000000,27682872,6.93,nominated
Dallas Buyers Club,2013,5000000,55736588,14.76,nominated
RoboCop,1987,13000000,53424681,27.45,nominated
Radio Days,1987,16000000,0,7.89,nominated
Philomena,2013,12000000,100129872,7.31,nominated
American Hustle,2013,40000000,251171807,23.16,nominated
The Wolf of Wall Street,2013,100000000,392000000,202.33,nominated
Maurice,1987,0,2438304,8.44,nominated
12 Years a Slave,2013,20000000,187000000,23.05,nominated
Rain Man,1988,25000000,354825435,17.86,winner
The Accidental Tourist,1988,0,32632093,7.6,nominated
Bull Durham,1988,7000000,50888000,12.57,nominated
Big,1988,18000000,151927281,17.68,nominated
The Invisible Woman,2013,0,3986888,9.94,nominated
The Last Temptation of Christ,1988,7000000,8373585,18.9,nominated
Field of Dreams,1989,15000000,84431625,13.18,nominated
Dead Poets Society,1989,16400000,235860116,31.68,nominated
Do the Right Thing,1989,6500000,37295445,8.51,nominated
Boyhood,2014,4000000,48137666,12.18,nominated
Maleficent,2014,180000000,758539785,119.07,nominated
The Hunt for Red October,1990,30000000,200512643,23.41,nominated
Nightcrawler,2014,8500000,50300000,56.69,nominated
Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,103215094,27.57,winner
Selma,2014,20000000,66787908,7.08,nominated
Into the Woods,2014,50000000,212902372,19.91,nominated
The Theory of Everything,2014,15000000,123726688,29.72,nominated
Barton Fink,1991,9000000,6153939,10.05,nominated
Hook,1991,70000000,300855000,26.43,nominated
Scent of a Woman,1992,31000000,134095253,17.52,nominated
A Few Good Men,1992,40000000,243240178,28.24,nominated
The Crying Game,1992,3705538,62548947,9.77,nominated
Basic Instinct,1992,49000000,352927224,26.54,nominated
The Lover,1992,0,5013090,19.84,nominated
The Remains of the Day,1993,11500000,23237911,10.44,nominated
In the Name of the Father,1993,13000000,65796862,13.71,nominated
The Fugitive,1993,44000000,368875760,20.59,nominated
Cinderella,2015,95000000,543514353,80.45,nominated
Mad Max: Fury Road,2015,150000000,378858340,102.32,winner
Inside Out,2015,175000000,857611174,101.08,nominated
Sleepless in Seattle,1993,21000000,227799884,12.31,nominated
In the Line of Fire,1993,40000000,176997168,13.29,nominated
Philadelphia,1993,26000000,206678440,15,nominated
The Martian,2015,108000000,630161890,71.02,nominated
Forrest Gump,1994,55000000,677387716,52.52,winner
Brooklyn,2015,11000000,62076141,15.1,nominated
Carol,2015,11800000,40272135,14.26,nominated
Room,2015,13000000,35401758,18.72,nominated
Quiz Show,1994,31000000,24822619,7.19,nominated
Star Wars: The Force Awakens,2015,245000000,2068223624,126.17,nominated
The Hateful Eight,2015,44000000,155760117,23.73,nominated
The Danish Girl,2015,15000000,64191523,36.91,nominated
Leaving Las Vegas,1995,3600000,49800000,14.45,nominated
Batman Forever,1995,100000000,336529144,32.85,nominated
The Usual Suspects,1995,6000000,23341568,17.14,winner
Jerry Maguire,1996,50000000,273552592,20.46,nominated
Fargo,1996,7000000,60611975,18.36,nominated
Lone Star,1996,5000000,13269963,8.31,nominated
Michael Collins,1996,25000000,16900000,6.43,nominated
L.A. Confidential,1997,35000000,126216940,16.77,nominated
The Full Monty,1997,3500000,257850122,9.14,nominated
Arrival,2016,47000000,203388186,59.97,nominated
Fantastic Beasts and Where to Find Them,2016,180000000,809342332,374.73,winner
Air Force One,1997,85000000,315156409,19,nominated
Hidden Figures,2016,25000000,230698791,44.12,nominated
La La Land,2016,30000000,447407695,27.45,nominated
Donnie Brasco,1997,35000000,124909762,16.23,nominated
Sing,2016,75000000,634151679,112.14,winner
Jackie,2016,9000000,13960394,14.92,nominated
20th Century Women,2016,7000000,5664764,11.32,nominated
Fences,2016,24000000,64414761,30.12,nominated
Manchester by the Sea,2016,9000000,78988148,20.38,nominated
Florence Foster Jenkins,2016,29000000,48902953,8.32,nominated
Out of Sight,1998,48000000,77745966,10.45,nominated
Velvet Goldmine,1998,0,4313644,7.78,nominated
Allied,2016,85000000,119520023,18.12,nominated
Logan,2017,97000000,619021436,80.44,nominated
Get Out,2017,4500000,255407969,45.91,nominated
Beauty and the Beast,2017,160000000,1263521126,83.75,nominated
The Green Mile,1999,60000000,286801374,61.03,nominated
The Big Sick,2017,5000000,56303596,12.72,nominated
Call Me by Your Name,2017,4000000,41063475,96.94,nominated
Wonder Boys,2000,35000000,0,9.03,nominated
Monster's Ball,2001,4000000,44909486,10.84,nominated
About a Boy,2002,27000000,129000000,11.39,nominated
The Pianist,2002,35000000,120072577,38.33,winner
Gangs of New York,2002,100000000,193772504,16.69,nominated
Frida,2002,12000000,56298474,20.74,nominated
Finding Nemo,2003,94000000,940335536,120.26,nominated
The Aviator,2004,110000000,213700000,24.34,winner
Troy,2004,175000000,497409852,49.44,nominated
The Phantom of the Opera,2004,70000000,154648887,15.02,nominated
Collateral,2004,65000000,217764291,19.48,nominated
Munich,2005,70000000,130982129,14.34,nominated
"Good Night, and Good Luck.",2005,7000000,54600000,5.76,nominated
Brokeback Mountain,2005,14000000,178043761,28.92,nominated
Cinderella Man,2005,88000000,108539911,17.18,nominated
Batman Begins,2005,150000000,374218673,77.12,nominated
The Squid and the Whale,2005,1500000,11098131,7.11,nominated
Letters from Iwo Jima,2006,19000000,68673228,14.8,nominated
The Departed,2006,90000000,291465000,33.47,winner
Curse of the Golden Flower,2006,45000000,78568977,12.27,nominated
Blood Diamond,2006,100000000,171720398,39.07,nominated
The Diving Bell and the Butterfly,2007,14000020,19777647,12.01,nominated
Michael Clayton,2007,25000000,92991835,10.89,nominated
The Bourne Ultimatum,2007,70000000,442824138,25.9,winner
The Prestige,2006,40000000,109676311,24.74,nominated
Australia,2008,130000000,211787511,14.09,nominated
The Black Dahlia,2006,50000000,49111202,13.68,nominated
Up in the Air,2009,25000000,166842739,17.4,nominated
Nine,2009,80000000,53825515,9.57,nominated
Ratatouille,2007,150000000,623726000,166.96,nominated
A Serious Man,2009,7000000,31430334,7.58,nominated
The Blind Side,2009,29000000,309208309,82.78,nominated
The Fighter,2010,25000000,93617009,15.08,nominated
Extremely Loud & Incredibly Close,2011,40000000,55247881,11.02,nominated
Anna Karenina,2012,0,68929150,19.1,winner
Her,2013,23000000,47351251,32.02,nominated
The Imitation Game,2014,14000000,233555708,58.26,winner
Lion,2016,12000000,140312928,24.38,nominated
The Assassination of Jesse James by the Coward Robert Ford,2007,30000000,14711793,11.98,nominated
In Bruges,2008,15000000,34533783,15.36,nominated
Frost/Nixon,2008,25000000,18593156,7.93,nominated
Milk,2008,0,0,3.81,nominated
District 9,2009,30000000,210819611,70.23,nominated
The Imaginarium of Doctor Parnassus,2009,30000000,64352607,13.19,nominated
The Messenger,2009,6500000,1595417,6.08,nominated
The Social Network,2010,40000000,224920315,30.21,nominated
Moneyball,2011,50000000,110206216,21.29,nominated
The Ides of March,2011,12500000,76338111,9.16,nominated
Tinker Tailor Soldier Spy,2011,30000000,80630608,14.1,nominated
The Artist,2011,15000000,133432856,11.97,nominated
Margin Call,2011,3500000,19504039,11.77,nominated
The Girl with the Dragon Tattoo,2011,90000000,232617430,17.34,winner
War Horse,2011,66000000,177584879,30.45,nominated
Life of Pi,2012,120000000,609016565,44.64,nominated
Django Unchained,2012,100000000,425368238,73.13,nominated
The Grandmaster,2013,3860000,64076736,36.26,nominated
Captain Phillips,2013,55000000,218791811,16.05,nominated
Inside Llewyn Davis,2013,11000000,32935319,10.03,nominated
The Grand Budapest Hotel,2014,30000000,174600318,30.36,nominated
Whiplash,2014,3300000,13092000,50.91,nominated
Inherent Vice,2014,20000000,14710975,16.8,nominated
Foxcatcher,2014,24000000,12096300,9.08,nominated
Mr. Turner,2014,0,5405500,5.94,nominated
American Sniper,2014,58800000,542307423,94.99,nominated
Ex Machina,2015,15000000,36869414,27.7,nominated
Straight Outta Compton,2015,28000000,201634991,51.35,nominated
Bridge of Spies,2015,40000000,165478348,15.99,nominated
The Big Short,2015,28000000,133346506,24.62,winner
Spotlight,2015,20000000,98690254,13.28,winner
Hell or High Water,2016,12000000,37589296,17.9,nominated
Hacksaw Ridge,2016,40000000,175302354,242.05,winner
Moonlight,2016,4000000,65046687,20.23,nominated
Baby Driver,2017,34000000,226945087,78.96,nominated
Boys Town,1938,0,0,4.23,nominated
The Thief of Bagdad,1940,0,0,10.24,winner
Sun Valley Serenade,1941,0,0,2.29,nominated
Sahara,1943,0,0,6.02,nominated
"Objective, Burma!",1945,0,0,4.15,nominated
Anchors Aweigh,1945,0,0,6.64,nominated
Red River,1948,3000000,9012000,9.36,nominated
The Treasure of the Sierra Madre,1948,3800000,4307000,9.43,winner
The African Queen,1951,1000000,10750000,9.24,nominated
The Big Sky,1952,140,0,4.66,nominated
Stalag 17,1953,1661530,0,10.81,nominated
On the Waterfront,1954,910000,9600000,11.5,winner
"Heaven Knows, Mr. Allison",1957,0,0,5.6,nominated
The Defiant Ones,1958,0,0,6.16,nominated
The Hustler,1961,2000000,7600000,9.71,nominated
Lawrence of Arabia,1962,15000000,69995385,20.55,nominated
The Longest Day,1962,10000000,50100000,11.52,winner
The Flight of the Phoenix,1965,5355000,0,16.01,nominated
Fantastic Voyage,1966,5115000,12000000,8.56,nominated
Blow-Up,1966,1800000,0,8.83,nominated
The Dirty Dozen,1967,5400000,45300000,12.94,nominated
2001: A Space Odyssey,1968,12000000,71923560,32.85,nominated
Ice Station Zebra,1968,0,0,7.36,nominated
Death in Venice,1971,0,0,6.95,nominated
Sleuth,1972,0,0,8.04,nominated
Midnight Express,1978,2300000,35000000,10.12,nominated
Apocalypse Now,1979,31500000,150000000,25.09,nominated
The Black Hole,1979,20000000,35841901,11.11,nominated
The Blue Lagoon,1980,4500000,58853106,40.81,nominated
Tron,1982,17000000,33000000,22.2,nominated
Beverly Hills Cop,1984,14000000,316360478,15.95,nominated
A Soldier's Story,1984,6000000,21821347,6.92,nominated
Stand by Me,1986,8000000,52287414,20.44,nominated
Platoon,1986,6000000,138530565,25.81,nominated
The Mission,1986,24500000,17218023,10.99,nominated
Pirates,1986,40000000,1641825,5.87,nominated
Full Metal Jacket,1987,30000000,46357676,31.33,nominated
Glory,1989,18000000,26828365,12.24,nominated
Searching for Bobby Fischer,1993,0,7266383,9.19,nominated
Farewell My Concubine,1993,0,5750000,10.93,nominated
Good Will Hunting,1997,10000000,225933435,41.14,winner
Saving Private Ryan,1998,70000000,481840909,60.37,nominated
Gladiator,2000,103000000,465361176,44.94,winner
"O Brother, Where Art Thou?",2000,26000000,71868327,15.62,nominated
Black Hawk Down,2001,92000000,172989651,40.38,winner
Road to Perdition,2002,80000000,181001478,15.98,winner
Master and Commander: The Far Side of the World,2003,150000000,212011111,14.6,nominated
The Last Samurai,2003,140000000,456758981,31.6,nominated
Before Sunset,2004,2700000,15992615,12.35,nominated
The Illusionist,2006,16500000,87892388,19.12,nominated
Restrepo,2010,0,1437000,8.57,nominated
The Tree of Life,2011,32000000,54674226,12.3,nominated
Gravity,2013,105000000,723192705,24.39,winner
Cutie and the Boxer,2013,0,0,6.16,nominated
Unbroken,2014,65000000,163442937,16.56,nominated
Sicario,2015,30000000,84872444,59.07,nominated
The Revenant,2015,135000000,532950503,55.09,nominated
Silence,2016,46000000,23737523,29.8,nominated
Dunkirk,2017,100000000,527000000,31.54,nominated
