year,film,Production Company
1927,The Jazz Singer,Warner Bros. Pictures
1928,Our Dancing Daughters,Metro-Goldwyn-Mayer
1934,It Happened One Night,Columbia Pictures
1936,Mr. Deeds Goes to Town,Columbia Pictures
1930,Morocco,Paramount
1936,Theodora Goes Wild,Columbia Pictures
1936,The Great Ziegfeld,Metro-Goldwyn-Mayer
1931,The Champ,Metro-Goldwyn-Mayer
1937,Stage Door,RKO Radio Pictures
1937,The Awful Truth,Columbia Pictures
1938,Four Daughters,Warner Bros. Pictures
1939,Stagecoach,Walter Wanger Productions
1939,Stagecoach,United Artists
1939,Ninotchka,Metro-Goldwyn-Mayer
1939,Love Affair,RKO Radio Pictures
1940,Rebecca,Selznick International Pictures
1940,Rebecca,United Artists
1940,The Grapes of Wrath,20th Century Fox
1940,The Great Dictator,Roy Export Company Establishment
1940,The Great Dictator,United Artists
1940,The Philadelphia Story,Metro-Goldwyn-Mayer
1934,Cleopatra,Paramount
1941,The Devil and Miss Jones,Frank Ross-Norma Krasna Inc.
1941,Meet John Doe,Frank Capra Productions
1941,Meet John Doe,Warner Bros. Pictures
1941,How Green Was My Valley,20th Century Fox
1942,Woman of the Year,Metro-Goldwyn-Mayer
1935,Mutiny on the Bounty,Metro-Goldwyn-Mayer
1942,Mrs. Miniver,Metro-Goldwyn-Mayer
1943,Watch on the Rhine,Warner Bros. Pictures
1943,Shadow of a Doubt,Universal Pictures
1943,Shadow of a Doubt,Skirball Productions
1944,Double Indemnity,Paramount
1944,Meet Me in St. Louis,Metro-Goldwyn-Mayer
1944,Meet Me in St. Louis,"""Loews Incorporated"""
1944,Laura,20th Century Fox
1944,Cover Girl,Columbia Pictures
1944,Since You Went Away,Vanguard Films
1944,Since You Went Away,Selznick International Pictures
1944,Lifeboat,20th Century Fox
1944,The Uninvited,Paramount
1945,Mildred Pierce,Warner Bros. Pictures
1945,Spellbound,Selznick International Pictures
1945,Spellbound,United Artists
1936,San Francisco,Metro-Goldwyn-Mayer
1946,It's a Wonderful Life,Liberty Films
1946,It's a Wonderful Life,RKO Radio Pictures
1936,Fury,Metro-Goldwyn-Mayer
1946,The Stranger,International Pictures
1946,The Stranger,RKO Radio Pictures
1947,Black Narcissus,The Archers
1947,Black Narcissus,J. Arthur Rank Organisation
1947,The Ghost and Mrs. Muir,20th Century Fox
1947,Body and Soul,Enterprise Productions
1947,Body and Soul,United Artists
1936,My Man Godfrey,Universal Pictures
1947,Miracle on 34th Street,20th Century Fox
1948,The Red Shoes,Independent Producers
1948,The Red Shoes,The Archers
1948,The Snake Pit,20th Century Fox
1948,I Remember Mama,RKO Radio Pictures
1948,Joan of Arc,Walter Wanger Productions
1948,Joan of Arc,RKO Radio Pictures
1949,The Barkleys of Broadway,Metro-Goldwyn-Mayer
1949,Little Women,Metro-Goldwyn-Mayer
1949,A Letter to Three Wives,20th Century Fox
1949,The Heiress,Paramount
1937,Lost Horizon,Columbia Pictures
1937,The Life of Emile Zola,Warner Bros. Pictures
1950,Born Yesterday,Columbia Pictures
1950,No Way Out,20th Century Fox
1950,Caged,Warner Bros. Pictures
1951,A Streetcar Named Desire,Charles K. Feldman Group
1951,A Streetcar Named Desire,Warner Bros. Pictures
1951,Show Boat,Metro-Goldwyn-Mayer
1951,Quo Vadis,Metro-Goldwyn-Mayer
1953,Roman Holiday,Paramount
1953,The Cruel Sea,Ealing Studios
1953,The Cruel Sea,Michael Balcon Productions
1938,The Adventures of Robin Hood,Warner Bros. Pictures
1953,From Here to Eternity,Columbia Pictures
1953,How to Marry a Millionaire,20th Century Fox
1938,Angels with Dirty Faces,Warner Bros. Pictures
1954,Seven Brides for Seven Brothers,Metro-Goldwyn-Mayer
1954,Seven Brides for Seven Brothers,"""Loews Incorporated"""
1954,Rear Window,Alfred J. Hitchcock Productions
1954,Rear Window,Paramount
1954,Sabrina,Paramount
1954,Three Coins in the Fountain,20th Century Fox
1955,To Catch a Thief,Paramount
1955,Guys and Dolls,Samuel Goldwyn Productions
1955,Marty,United Artists
1955,Marty,Hecht-Lancaster Productions
1938,Jezebel,Warner Bros. Pictures
1955,Oklahoma!,RKO Radio Pictures
1955,Oklahoma!,Magna Corporation
1955,Summertime,London Films Productions
1955,Summertime,United Artists
1956,The Bad Seed,Warner Bros. Pictures
1956,War and Peace,Paramount
1956,War and Peace,Ponti-De Laurentiis Cinematografica
1939,Of Mice and Men,United Artists
1939,Of Mice and Men,Hal Roach Studios
1939,Wuthering Heights,Samuel Goldwyn Productions
1939,Wuthering Heights,United Artists
1956,High Society,Sol C. Siegel Productions
1956,High Society,Bing Crosby Productions
1939,"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer British Studios
1957,Funny Face,Paramount
1939,Juarez,Warner Bros. Pictures
1958,Auntie Mame,Warner Bros. Pictures
1958,Separate Tables,Norlan Productions
1958,Separate Tables,Hecht-Hill-Lancaster Productions
1939,Mr. Smith Goes to Washington,Columbia Pictures
1958,South Pacific,Magna Theatre Corporation
1958,South Pacific,South Pacific Enterprises
1958,The Inn of the Sixth Happiness,20th Century Fox
1958,Cat on a Hot Tin Roof,Avon Productions
1958,Cat on a Hot Tin Roof,Metro-Goldwyn-Mayer
1939,Young Mr. Lincoln,20th Century Fox
1939,Young Mr. Lincoln,Cosmopolitan Productions
1958,I Want to Live!,United Artists
1958,I Want to Live!,Figaro
1959,Ben-Hur,Metro-Goldwyn-Mayer
1959,The Nun's Story,Warner Bros. Pictures
1939,The Private Lives of Elizabeth and Essex,Warner Bros. Pictures
1959,Some Like It Hot,The Mirisch Company
1959,Some Like It Hot,Ashton Productions
1940,Foreign Correspondent,Walter Wanger Productions
1940,Foreign Correspondent,United Artists
1959,Pillow Talk,Arwin Productions
1960,Inherit the Wind,Stanley Kramer Productions
1960,Inherit the Wind,United Artists
1960,The Apartment,The Mirisch Company
1960,Psycho,Shamley Productions
1960,Exodus,Carlyle Productions
1960,Exodus,United Artists
1940,Comrade X,Metro-Goldwyn-Mayer
1960,The Virgin Spring,SF Studios
1961,The Children's Hour,The Mirisch Company
1961,The Children's Hour,United Artists
1940,The Letter,Warner Bros. Pictures
1961,"One, Two, Three",The Mirisch Company
1961,"One, Two, Three",United Artists
1961,West Side Story,Seven Arts Productions
1961,West Side Story,The Mirisch Company
1940,"All This, and Heaven Too",Warner Bros. Pictures
1961,Splendor in the Grass,Newton Productions
1961,Splendor in the Grass,NBI Productions
1940,Boom Town,Metro-Goldwyn-Mayer
1961,The Parent Trap,Walt Disney Productions
1962,What Ever Happened to Baby Jane?,The Associates & Aldrich Company
1962,What Ever Happened to Baby Jane?,Seven Arts Productions
1962,Lolita,Seven Arts Productions
1962,Lolita,Allied Artists
1962,To Kill a Mockingbird,Pakula-Mulligan
1962,To Kill a Mockingbird,Brentwood Productions
1962,Gypsy,Warner Bros. Pictures
1962,The Miracle Worker,Playfilm Productions
1962,Hatari!,Paramount
1962,Hatari!,Malabar
1941,Citizen Kane,Mercury Productions
1941,Citizen Kane,RKO Radio Pictures
1963,Tom Jones,Woodfall Film Productions
1941,The Lady Eve,Paramount
1963,"It's a Mad, Mad, Mad, Mad World",United Artists
1963,"It's a Mad, Mad, Mad, Mad World",Casey Productions
1963,Cleopatra,MCL Films S.A.
1963,Cleopatra,Walwa Films S.A.
1941,The Little Foxes,RKO Radio Pictures
1941,The Little Foxes,Samuel Goldwyn Productions
1964,Mary Poppins,Walt Disney Productions
1964,My Fair Lady,Warner Bros. Pictures
1941,The Maltese Falcon,Warner Bros. Pictures
1964,The Unsinkable Molly Brown,Metro-Goldwyn-Mayer
1965,The Sound of Music,Robert Wise Productions
1965,The Sound of Music,Argyle Enterprises
1965,Inside Daisy Clover,Park Place Production
1965,Inside Daisy Clover,Warner Bros. Pictures
1965,Darling,Vic Films Productions
1965,Darling,Joseph Janni Production
1965,A Patch of Blue,Metro-Goldwyn-Mayer
1966,Georgy Girl,Everglades Productions
1966,Georgy Girl,Columbia Pictures
1967,Bonnie and Clyde,Tatira-Hiller Productions
1967,Bonnie and Clyde,Warner Bros. Pictures
1967,Thoroughly Modern Millie,Ross Hunter Productions
1967,Thoroughly Modern Millie,Universal Pictures
1967,Two for the Road,Stanley Donen Films
1967,Guess Who's Coming to Dinner,Stanley Kramer Productions
1967,Guess Who's Coming to Dinner,Columbia Pictures
1968,Rosemary's Baby,William Castle Productions
1968,Romeo and Juliet,Paramount
1968,Romeo and Juliet,Dino de Laurentiis Cinematografica
1968,Star!,Robert Wise Productions
1968,Star!,20th Century Fox
1968,The Lion in Winter,AVCO Embassy Pictures
1968,The Lion in Winter,Haworth Productions
1968,Funny Girl,Columbia Pictures
1968,Funny Girl,Rastar Productions
1942,The Magnificent Ambersons,Mercury Productions
1942,The Magnificent Ambersons,RKO Radio Pictures
1969,"Hello, Dolly!",Chenault Productions
1969,"Hello, Dolly!",20th Century Fox
1970,Five Easy Pieces,Raybert Productions
1970,Airport,Ross Hunter Productions
1970,Darling Lili,Paramount
1970,Darling Lili,Geoffrey Productions
1971,Bedknobs and Broomsticks,Walt Disney Productions
1971,"Mary, Queen of Scots",Universal Pictures
1943,The More the Merrier,Columbia Pictures
1971,Klute,Gus Productions
1971,Klute,Warner Bros. Pictures
1971,Nicholas and Alexandra,Columbia Pictures
1971,Nicholas and Alexandra,Horizon Pictures
1971,The Andromeda Strain,Universal Pictures
1972,Travels with My Aunt,Metro-Goldwyn-Mayer
1972,Butterflies Are Free,Frankovich Productions
1972,Butterflies Are Free,Columbia Pictures
1972,Cabaret,Allied Artists Pictures
1972,Cabaret,ABC Pictures
1972,The Discreet Charm of the Bourgeoisie,Greenwich Film Production
1972,The Discreet Charm of the Bourgeoisie,20th Century Fox
1972,Lady Sings the Blues,Weston Productions
1972,Lady Sings the Blues,Jobete Productions
1973,The Exorcist,Hoya Productions
1973,The Exorcist,Warner Bros. Pictures
1973,Paper Moon,The Directors Company
1973,Paper Moon,Saticoy Productions
1974,Alice Doesn't Live Here Anymore,Warner Bros. Pictures
1975,Jaws,Zanuck/Brown Productions
1975,Jaws,Universal Pictures
1944,Hail the Conquering Hero,Paramount
1975,Dog Day Afternoon,Artists Entertainment Complex
1975,Dog Day Afternoon,Warner Bros. Pictures
1975,Nashville,Paramount
1975,Nashville,ABC Entertainment
1976,Network,United Artists
1976,Network,Metro-Goldwyn-Mayer
1977,The Turning Point,Hera Productions
1977,Julia,20th Century Fox
1977,Annie Hall,United Artists
1977,Annie Hall,Rollins-Joffe Productions
1977,The Goodbye Girl,Metro-Goldwyn-Mayer
1977,The Goodbye Girl,Rastar Productions
1977,A Little Night Music,Elliott Kastner Productions
1977,A Little Night Music,Sascha-Film
1978,Autumn Sonata,Suede Film
1978,Autumn Sonata,Personafilm
1978,Interiors,United Artists
1978,Death on the Nile,Mersham Productions
1978,Death on the Nile,EMI Films
1978,The Wiz,Universal Pictures
1978,The Wiz,Motown Productions
1979,The China Syndrome,Columbia Pictures
1979,The China Syndrome,IPC Films
1945,The Lost Weekend,Paramount
1979,Norma Rae,20th Century Fox
1980,Private Benjamin,Warner Bros. Pictures
1980,Coal Miner's Daughter,Universal Pictures
1981,Reds,JRS Productions
1981,Reds,Barclays Mercantile Industrial Finance
1946,The Jolson Story,Columbia Pictures
1981,Absence of Malice,Mirage Enterprises
1981,Absence of Malice,Columbia Pictures
1946,The Best Years of Our Lives,Samuel Goldwyn Productions
1946,The Best Years of Our Lives,RKO Radio Pictures
1982,Sophie's Choice,ITC
1982,Sophie's Choice,Keith Barish Productions
1946,Notorious,RKO Radio Pictures
1982,An Officer and a Gentleman,Paramount
1982,An Officer and a Gentleman,Lorimar Film Entertainment
1982,Missing,Universal Pictures
1982,Victor/Victoria,Peerford Ltd.
1982,Victor/Victoria,Artista Management
1983,Silkwood,ABC Pictures
1983,Educating Rita,Acorn Pictures
1983,Educating Rita,Columbia Pictures
1947,Gentleman's Agreement,20th Century Fox
1983,Flashdance,Paramount
1983,Flashdance,PolyGram Filmed Entertainment
1947,Crossfire,RKO Radio Pictures
1984,The Bostonians,Merchant Ivory Productions
1984,Amadeus,AMLF
1984,Amadeus,The Saul Zaentz Company
1947,Odd Man Out,Two Cities Films
1984,A Passage to India,EMI Films
1984,A Passage to India,Thorn EMI Screen Entertainment
1984,Romancing the Stone,SLM Production Group
1984,Romancing the Stone,Nina Saxon Film Design
1985,Brazil,Embassy International Pictures
1985,The Color Purple,Amblin Entertainment
1985,The Color Purple,The Guber-Peters Company
1985,The Trip to Bountiful,Bountiful Film Partners
1985,The Trip to Bountiful,FilmDallas Pictures
1985,A Chorus Line,Feuer and Martin Production
1985,A Chorus Line,A
1985,The Official Story,Progress Communications
1985,The Official Story,Historias Cinematográficas
1985,The Purple Rose of Cairo,Orion Pictures
1948,Hamlet,Two Cities Films
1985,Witness,Paramount
1985,Out of Africa,Universal Pictures
1985,Out of Africa,Mirage Entertainment
1986,Hannah and Her Sisters,Orion Pictures
1986,Hannah and Her Sisters,Jack Rollins & Charles H. Joffe Productions
1986,Peggy Sue Got Married,American Zoetrope
1986,Peggy Sue Got Married,TriStar Pictures
1986,Star Trek IV: The Voyage Home,Paramount
1986,Children of a Lesser God,Paramount
1949,All the King's Men,Columbia Pictures
1987,Moonstruck,Star Partners
1987,Moonstruck,Metro-Goldwyn-Mayer
1987,The Last Emperor,Hemdale Film Corporation
1987,The Last Emperor,Recorded Pictures Company
1987,Fatal Attraction,Paramount
1987,Broadcast News,Amercent Films
1987,Broadcast News,American Entertainment Partners L.P.
1987,Hope and Glory,Columbia Pictures
1988,Die Hard,Gordon Company
1988,Die Hard,Silver Pictures
1988,Working Girl,20th Century Fox
1988,Dangerous Liaisons,Lorimar Film Entertainment
1988,Dangerous Liaisons,NFH Films
1988,A Fish Called Wanda,Prominent Features
1988,A Fish Called Wanda,Metro-Goldwyn-Mayer
1950,The Asphalt Jungle,Metro-Goldwyn-Mayer
1988,Gorillas in the Mist,The Guber-Peters Company
1988,Gorillas in the Mist,Universal Pictures
1989,The Abyss,Lightstorm Entertainment
1989,The Abyss,Pacific Western
1989,Henry V,BBC Films
1989,Henry V,Renaissance Films
1989,Crimes and Misdemeanors,Orion Pictures
1989,Crimes and Misdemeanors,Jack Rollins & Charles H. Joffe Productions
1989,Born on the Fourth of July,Universal Pictures
1989,Born on the Fourth of July,Ixtlan
1989,Driving Miss Daisy,The Zanuck Company
1989,Driving Miss Daisy,Majestic Films International
1990,Ghost,Paramount
1951,An American in Paris,"""Loews"""
1951,An American in Paris,Metro-Goldwyn-Mayer
1990,Alice,Orion Pictures
1990,Metropolitan,Allagash Films
1990,Metropolitan,Waverly Films
1991,The Silence of the Lambs,Orion Pictures
1991,The Silence of the Lambs,Strong Heart/Demme Production
1951,Strangers on a Train,Warner Bros. Pictures
1991,Fried Green Tomatoes,Universal Pictures
1991,Fried Green Tomatoes,Act III Productions
1991,Terminator 2: Judgment Day,TriStar Pictures
1991,Terminator 2: Judgment Day,StudioCanal
1991,The Fisher King,TriStar Pictures
1991,The Addams Family,Scott Rudin Productions
1991,The Addams Family,Orion Pictures
1991,JFK,Ixtlan Productions
1991,JFK,Warner Bros. Pictures
1992,Toys,Baltimore Pictures
1992,Toys,20th Century Fox
1992,Enchanted April,BBC Films
1992,Enchanted April,Miramax
1992,Passion Fish,Atchafalaya
1992,Howards End,Merchant Ivory Productions
1992,Howards End,Film4 Productions
1952,The Greatest Show on Earth,Paramount
1992,The Player,Fine Line Features
1992,The Player,Avenue Pictures
1992,Malcolm X,40 Acres and a Mule Filmworks
1992,Malcolm X,JVC
1992,Husbands and Wives,TriStar Pictures
1992,Bram Stoker's Dracula,American Zoetrope
1992,Bram Stoker's Dracula,Osiris Films
1952,The Bad and the Beautiful,Metro-Goldwyn-Mayer
1952,High Noon,Stanley Kramer Productions
1952,High Noon,United Artists
1952,The Quiet Man,Republic Pictures
1992,Unforgiven,Warner Bros. Pictures
1992,Unforgiven,Malpaso Productions
1993,Dave,Donner/Shuler-Donner Productions
1993,Dave,Northern Lights Entertainment
1993,Schindler's List,Universal Pictures
1993,Schindler's List,Amblin Entertainment
1993,The Piano,New South Wales Film & Television Office
1993,The Piano,Jan Chapman Productions
1993,The Age of Innocence,Columbia Pictures
1993,The Age of Innocence,Cappa Productions
1952,The Snows of Kilimanjaro,20th Century Fox
1993,Short Cuts,Fine Line Features
1993,Short Cuts,Spelling Entertainment
1953,Julius Caesar,Metro-Goldwyn-Mayer
1994,Speed,20th Century Fox
1994,Speed,The Mark Gordon Company
1953,Shane,Paramount
1994,Heavenly Creatures,Miramax
1994,Heavenly Creatures,WingNut Films
1994,Little Women,Columbia Pictures
1953,The War of the Worlds,Paramount
1994,"The Adventures of Priscilla, Queen of the Desert",PolyGram Filmed Entertainment
1994,"The Adventures of Priscilla, Queen of the Desert",Latent Image Productions Pty. Ltd.
1953,The Band Wagon,Metro-Goldwyn-Mayer
1994,Legends of the Fall,Bedford Falls Productions
1994,Legends of the Fall,TriStar Pictures
1994,Four Weddings and a Funeral,PolyGram Filmed Entertainment
1994,Four Weddings and a Funeral,Channel Four Films
1995,A Little Princess,Warner Bros. Pictures
1995,Apollo 13,Imagine Entertainment
1995,Apollo 13,Universal Pictures
1954,The Caine Mutiny,Stanley Kramer Productions
1954,The Caine Mutiny,Columbia Pictures
1954,The Glenn Miller Story,Universal Pictures
1995,Babe,Universal Pictures
1995,Babe,Kennedy Miller Productions
1995,Dead Man Walking,Havoc
1995,Dead Man Walking,PolyGram Filmed Entertainment
1954,A Star Is Born,Transcona Enterprises
1954,A Star Is Born,Warner Bros. Pictures
1996,Secrets & Lies,Channel Four Films
1996,Secrets & Lies,Thin Man Films
1996,Fly Away Home,Sandollar Productions
1996,Fly Away Home,Columbia Pictures
1954,Executive Suite,Metro-Goldwyn-Mayer
1996,Emma,Miramax
1996,Emma,Haft Entertainment
1996,The English Patient,Miramax
1996,The English Patient,Tiger Moth Productions
1996,Evita,Hollywood Pictures
1996,Evita,Cinergi Pictures Entertainment
1996,The Crucible,20th Century Fox
1997,As Good as It Gets,Gracie Films
1997,As Good as It Gets,TriStar Pictures
1997,Boogie Nights,New Line Cinema
1997,Boogie Nights,Lawrence Gordon Productions
1956,The Ten Commandments,Paramount
1956,The Ten Commandments,Motion Picture Associates
1956,The King and I,20th Century Fox
1998,Pleasantville,New Line Cinema
1998,Pleasantville,Larger Than Life Productions
1998,Shakespeare in Love,Universal Pictures
1998,Shakespeare in Love,Miramax
1998,Elizabeth,PolyGram Filmed Entertainment
1998,Elizabeth,Working Title Films
1998,Primary Colors,Mutual Film Company
1998,Primary Colors,Universal Pictures
1998,Beloved,Harpo Films
1998,Beloved,Touchstone Pictures
1957,Witness for the Prosecution,Edward Small Productions
1957,Sayonara,Pennebaker Productions
1957,Sayonara,William Goetz Productions
1957,The Bridge on the River Kwai,Horizon Pictures
1957,The Bridge on the River Kwai,Columbia Pictures
1999,The Matrix,Village Roadshow Pictures
1999,The Matrix,Groucho II Film Partnership
1999,The Sixth Sense,Spyglass Entertainment
1999,The Sixth Sense,The Kennedy/Marshall Company
1999,Election,Paramount
1999,Election,Bona Fide Productions
1999,Being John Malkovich,Gramercy Pictures
1999,Being John Malkovich,Propaganda Films
1999,Anna and the King,Fox 2000 Pictures
1999,Anna and the King,Lawrence Bender Productions
1999,Magnolia,Ghoulardi Film Company
1999,Magnolia,The Magnolia Project
1999,Titus,Clear Blue Sky Productions
1999,Titus,Overseas FilmGroup
1999,The Cider House Rules,Miramax
1999,The Cider House Rules,Nina Saxon Film Design
1957,An Affair to Remember,Jerry Wald Productions
1957,An Affair to Remember,20th Century Fox
1999,The Talented Mr. Ripley,Timnick Films
1999,The Talented Mr. Ripley,Paramount
1999,Topsy-Turvy,Newmarket Capital Group
1999,Topsy-Turvy,Goldwyn Films
1958,Gigi,Arthur Freed Production
1958,Gigi,Metro-Goldwyn-Mayer
1958,Teacher's Pet,Perlsea Company
2000,Erin Brockovich,Jersey Films
2000,Chocolat,Fat Free
2000,Chocolat,Miramax
2000,"Crouching Tiger, Hidden Dragon",China Film Co-Production Corporation
2000,"Crouching Tiger, Hidden Dragon",Columbia Pictures Film Production Asia
2000,Almost Famous,Columbia Pictures
2000,Almost Famous,Vinyl Films
2000,The Patriot,Centropolis Entertainment
2000,The Patriot,Mutual Film Company
2000,Billy Elliot,StudioCanal
2000,Billy Elliot,BBC Films
1959,Anatomy of a Murder,Columbia Pictures
1959,North by Northwest,Metro-Goldwyn-Mayer
2000,102 Dalmatians,Walt Disney Pictures
2000,102 Dalmatians,Cruella Productions
2000,Traffic,USA Films
2000,Traffic,Compulsion Inc.
2001,Mulholland Drive,Asymmetrical Productions
2001,Mulholland Drive,Les Films Alain Sarde
2001,Amélie,France 3 Cinéma
2001,Amélie,Claudie Ossard Productions
2001,Gosford Park,Sandcastle 5
2001,Gosford Park,Chicagofilms
1960,Spartacus,Bryna Productions
1960,Never on Sunday,MelinaFilm
1960,Never on Sunday,Lopert Pictures Corporation
2001,In the Bedroom,Miramax
2001,In the Bedroom,GreeneStreet/SKE Films
2002,My Big Fat Greek Wedding,Ontario Film Development Corporation
2002,My Big Fat Greek Wedding,Gold Circle Films
1961,The Guns of Navarone,Highroad Productions
1961,The Guns of Navarone,Columbia Pictures
1961,Breakfast at Tiffany's,Paramount
1961,Breakfast at Tiffany's,Jurow-Shepherd
2002,Far from Heaven,Killer Films
2002,Far from Heaven,Section Eight
1961,Yojimbo,Toho
2002,Talk to Her,Vía Digital
2002,Talk to Her,Good Machine
1962,That Touch of Mink,Universal Pictures
1962,That Touch of Mink,Arwin Productions
2003,Lost in Translation,American Zoetrope
2003,Lost in Translation,Focus Features
2003,Cold Mountain,Miramax
2003,Cold Mountain,Mirage Enterprises
2003,The Barbarian Invasions,Astral Films
2003,The Barbarian Invasions,The Harold Greenberg Fund
2003,Girl with a Pearl Earring,Archer Street Productions
2003,Girl with a Pearl Earring,Delux Productions
1962,The Manchurian Candidate,MC Productions
1962,The Manchurian Candidate,United Artists
2003,Mystic River,Warner Bros. Pictures
2003,Mystic River,Village Roadshow Pictures
2004,The Incredibles,Pixar
2004,The Incredibles,Walt Disney Pictures
2004,Million Dollar Baby,Lakeshore Entertainment
2004,Million Dollar Baby,Malpaso Productions
2004,A Very Long Engagement,Gerber Pictures
2004,A Very Long Engagement,2003 Productions
1964,A Hard Day's Night,Proscenium Films
1964,A Hard Day's Night,Walter Shenson Films
2004,Finding Neverland,Miramax
2004,Finding Neverland,FilmColony
2004,Lemony Snicket's A Series of Unfortunate Events,Paramount
2004,Lemony Snicket's A Series of Unfortunate Events,Scott Rudin Productions
2004,Sideways,Fox Searchlight Pictures
2004,Sideways,Michael London Productions
2004,Vera Drake,Les Films Alain Sarde
2004,Vera Drake,UK Film Council
2004,Ray,Bristol Bay Productions
2004,Ray,Universal Pictures
1964,The Americanization of Emily,Filmways Pictures
1964,The Americanization of Emily,Metro-Goldwyn-Mayer
2004,The Passion of the Christ,Icon Productions
1965,Doctor Zhivago,Metro-Goldwyn-Mayer
1965,Doctor Zhivago,Carlo Ponti Production
2005,The New World,The Virginia Company LLC
2005,The New World,New Line Cinema
2005,The Constant Gardener,Scion Films
2005,The Constant Gardener,Studio Babelsberg
2005,Charlie and the Chocolate Factory,Village Roadshow Pictures
2005,Charlie and the Chocolate Factory,The Zanuck Company
2005,Memoirs of a Geisha,Columbia Pictures
2005,Memoirs of a Geisha,DreamWorks Pictures
1966,Who's Afraid of Virginia Woolf?,Chenault Productions
1966,Who's Afraid of Virginia Woolf?,Warner Bros. Pictures
2005,Capote,"""Coopers Town Productions"""
2005,Capote,Infinity Media
1966,A Man for All Seasons,Highland Films
1966,A Man for All Seasons,Columbia Pictures
2005,Match Point,DreamWorks Pictures
1966,The Fortune Cookie,Phalanx Productions
1966,The Fortune Cookie,Jalem Productions
2005,Pride & Prejudice,Focus Features
2005,Pride & Prejudice,Universal Pictures
1966,The Sand Pebbles,Robert Wise Productions
1966,The Sand Pebbles,Solar Productions
2005,A History of Violence,New Line Cinema
2005,A History of Violence,BenderSpink
1966,Alfie,Paramount
1966,Alfie,Lewis Gilbert Productions
2006,Pan's Labyrinth,Estudios Picasso
2006,Pan's Labyrinth,Esperanto Filmoj
2006,Little Children,New Line Cinema
2006,Little Children,Standard Film Company
2006,Little Miss Sunshine,Fox Searchlight Pictures
2006,Little Miss Sunshine,Bona Fide Productions
1967,In the Heat of the Night,United Artists
1967,In the Heat of the Night,The Mirisch Company
2006,The Queen,Granada Productions
2006,The Queen,Pathé Renn Productions
1967,The Graduate,Lawrence Turman Films
1967,The Graduate,Inc.
